class,base_name,filename,label,id,n_id,property,instance_of_value,inception_value,inception_reference,dissolved_value,dissolved_reference,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,member_reference,member_label,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Accademia degli Elevati di Ferrara,Accademia degli Elevati di Ferrara.md,Accademia degli Elevati di Ferrara,27vZWuvks7YX,2143953500823949790,instance_of,[[academy]],,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Ferrara,Accademia degli Elevati di Ferrara.md,Accademia degli Elevati di Ferrara,27vZWuvks7YX,2143953500823949790,inception,,1540.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Ferrara,Accademia degli Elevati di Ferrara.md,Accademia degli Elevati di Ferrara,27vZWuvks7YX,2143953500823949790,dissolved,,,,1541.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,
Organisation,Accademia degli Elevati di Ferrara,Accademia degli Elevati di Ferrara.md,Accademia degli Elevati di Ferrara,27vZWuvks7YX,2143953500823949790,location,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ut5gfQdSP4WR,Ferrara,,,,,,,,,,
Organisation,Accademia degli Elevati di Ferrara,Accademia degli Elevati di Ferrara.md,Accademia degli Elevati di Ferrara,27vZWuvks7YX,2143953500823949790,official_website,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Ferrara,Accademia degli Elevati di Ferrara.md,Accademia degli Elevati di Ferrara,27vZWuvks7YX,2143953500823949790,catalog_identifier,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",512.0,,,,,,,
Organisation,Accademia degli Elevati di Ferrara,Accademia degli Elevati di Ferrara.md,Accademia degli Elevati di Ferrara,27vZWuvks7YX,2143953500823949790,member,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J82PkibLWFG6,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",Ortensio Lando,,,,
Organisation,Accademia degli Elevati di Ferrara,Accademia degli Elevati di Ferrara.md,Accademia degli Elevati di Ferrara,27vZWuvks7YX,2143953500823949790,interested_in,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Ferrara,Accademia degli Elevati di Ferrara.md,Accademia degli Elevati di Ferrara,27vZWuvks7YX,2143953500823949790,notable_work,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Ferrara,Accademia degli Elevati di Ferrara.md,Accademia degli Elevati di Ferrara,27vZWuvks7YX,2143953500823949790,related_to,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Ferrara,Accademia degli Elevati di Ferrara.md,Accademia degli Elevati di Ferrara,27vZWuvks7YX,2143953500823949790,motto,,,,,,,,,,,,,,,,,
