class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",2Dijque4HtUo,4241087370668715756,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",2Dijque4HtUo,4241087370668715756,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ke7Y8iiuR8Rg,Isabella Andreini,,,,,,,,,,,,,,,,,
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",2Dijque4HtUo,4241087370668715756,part_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZmhzcSbPoocH,Rime della S. Isabella Andreini.,287.0,Rime di diversi celebri poeti dell'età nostra,,,,,,,,,,,,,
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",2Dijque4HtUo,4241087370668715756,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",2Dijque4HtUo,4241087370668715756,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",2Dijque4HtUo,4241087370668715756,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3ruLTSyv8VeY,pastoral,,,,,,,,,
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",2Dijque4HtUo,4241087370668715756,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7grdEZcwLAfB,mortality,,,,,,,,,
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",2Dijque4HtUo,4241087370668715756,poetic_type,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",2Dijque4HtUo,4241087370668715756,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",2Dijque4HtUo,4241087370668715756,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",2Dijque4HtUo,4241087370668715756,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iNzQpg7zFBaG,flower,,,
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",2Dijque4HtUo,4241087370668715756,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dw8U7c9dKgjv,singing,,,
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",2Dijque4HtUo,4241087370668715756,language,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",2Dijque4HtUo,4241087370668715756,text,,,,,,,,,,,,,,,,,,,,,,"Colma di fasto, io me ne già cantando
Lungo un fiorito colle;
E quasi (oh mia sciochezza,)
Godea di questa mia frale bellezza;
Quando frai l'herba molle
Vidi languir un fiore
Privo del suo vital soav'humore.
E conobbi, che tale
Era beltà mortale."
