class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value
MusicComposition,Forse è cagion l'Aurora (Spontone),,,Forse è cagion l'Aurora (Spontone),Forse è cagion l'Aurora (Spontone).md,2gmEhU7629RE,14031793745089297281,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F106210000010101_000000231100C,,,,,,,,,,,,,,
MusicComposition,Forse è cagion l'Aurora (Spontone),,,Forse è cagion l'Aurora (Spontone),Forse è cagion l'Aurora (Spontone).md,2gmEhU7629RE,14031793745089297281,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,
MusicComposition,Forse è cagion l'Aurora (Spontone),,,Forse è cagion l'Aurora (Spontone),Forse è cagion l'Aurora (Spontone).md,2gmEhU7629RE,14031793745089297281,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KMtT3sEksj7N,madrigal,,,,,,,,,,
MusicComposition,Forse è cagion l'Aurora (Spontone),,,Forse è cagion l'Aurora (Spontone),Forse è cagion l'Aurora (Spontone).md,2gmEhU7629RE,14031793745089297281,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oVgX4nooPy2A,Tarquinia Molza,,,,,,,
MusicComposition,Forse è cagion l'Aurora (Spontone),,,Forse è cagion l'Aurora (Spontone),Forse è cagion l'Aurora (Spontone).md,2gmEhU7629RE,14031793745089297281,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dWoW3ShusMpX,Bartolomeo Spontone,,,,,,,
MusicComposition,Forse è cagion l'Aurora (Spontone),,,Forse è cagion l'Aurora (Spontone),Forse è cagion l'Aurora (Spontone).md,2gmEhU7629RE,14031793745089297281,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4ndigkmsV7bt,"De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci",,,,,
MusicComposition,Forse è cagion l'Aurora (Spontone),,,Forse è cagion l'Aurora (Spontone),Forse è cagion l'Aurora (Spontone).md,2gmEhU7629RE,14031793745089297281,instrumentation,,,,,,,,,,,,,,,
MusicComposition,Forse è cagion l'Aurora (Spontone),,,Forse è cagion l'Aurora (Spontone),Forse è cagion l'Aurora (Spontone).md,2gmEhU7629RE,14031793745089297281,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7aEBjVVcRKrU,Forse è cagion l'Aurora,,
MusicComposition,Forse è cagion l'Aurora (Spontone),,,Forse è cagion l'Aurora (Spontone),Forse è cagion l'Aurora (Spontone).md,2gmEhU7629RE,14031793745089297281,derivative_work,,,,,,,,,,,,,,,
MusicComposition,Forse è cagion l'Aurora (Spontone),,,Forse è cagion l'Aurora (Spontone),Forse è cagion l'Aurora (Spontone).md,2gmEhU7629RE,14031793745089297281,text,,,,,,,,,,,,,,,
