class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value,language_value,subject_value,poetic_type_value,depicts_value,metre_value
MusicComposition,Tirrena mia il cui colore agguaglia (Colombano),,,Tirrena mia il cui colore agguaglia (Colombano),Tirrena mia il cui colore agguaglia (Colombano).md,3AfCMCvcFLH9,23768322446284462312,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/286330000010101_000000065600C,,,,,,,,,,,,,,,,,,,
MusicComposition,Tirrena mia il cui colore agguaglia (Colombano),,,Tirrena mia il cui colore agguaglia (Colombano),Tirrena mia il cui colore agguaglia (Colombano).md,3AfCMCvcFLH9,23768322446284462312,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,
MusicComposition,Tirrena mia il cui colore agguaglia (Colombano),,,Tirrena mia il cui colore agguaglia (Colombano),Tirrena mia il cui colore agguaglia (Colombano).md,3AfCMCvcFLH9,23768322446284462312,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,,,,,,,,,,,,,
MusicComposition,Tirrena mia il cui colore agguaglia (Colombano),,,Tirrena mia il cui colore agguaglia (Colombano),Tirrena mia il cui colore agguaglia (Colombano).md,3AfCMCvcFLH9,23768322446284462312,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QUHAq7K8fEy9,Jacopo Sannazaro,,,,,,,,,,,,
MusicComposition,Tirrena mia il cui colore agguaglia (Colombano),,,Tirrena mia il cui colore agguaglia (Colombano),Tirrena mia il cui colore agguaglia (Colombano).md,3AfCMCvcFLH9,23768322446284462312,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4y4FT2BctVBL,Orazio Colombano,,,,,,,,,,,,
MusicComposition,Tirrena mia il cui colore agguaglia (Colombano),,,Tirrena mia il cui colore agguaglia (Colombano),Tirrena mia il cui colore agguaglia (Colombano).md,3AfCMCvcFLH9,23768322446284462312,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/S7Dg2MhyTb44,"Il Helicone, madrigali de diversi eccellentissimi musici a cinque voci",,,,,,,,,,
MusicComposition,Tirrena mia il cui colore agguaglia (Colombano),,,Tirrena mia il cui colore agguaglia (Colombano),Tirrena mia il cui colore agguaglia (Colombano).md,3AfCMCvcFLH9,23768322446284462312,instrumentation,,,,,,,,,,,,,,,,,,,,
MusicComposition,Tirrena mia il cui colore agguaglia (Colombano),,,Tirrena mia il cui colore agguaglia (Colombano),Tirrena mia il cui colore agguaglia (Colombano).md,3AfCMCvcFLH9,23768322446284462312,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dPzZKfm3Svjg,Tirrena mia il cui colore agguaglia,,,,,,,
MusicComposition,Tirrena mia il cui colore agguaglia (Colombano),,,Tirrena mia il cui colore agguaglia (Colombano),Tirrena mia il cui colore agguaglia (Colombano).md,3AfCMCvcFLH9,23768322446284462312,derivative_work,,,,,,,,,,,,,,,,,,,,
MusicComposition,Tirrena mia il cui colore agguaglia (Colombano),,,Tirrena mia il cui colore agguaglia (Colombano),Tirrena mia il cui colore agguaglia (Colombano).md,3AfCMCvcFLH9,23768322446284462312,text,,,,,,,,,,,,,,,,,,,,
MusicComposition,Tirrena mia il cui colore agguaglia (Colombano),,,Tirrena mia il cui colore agguaglia (Colombano),Tirrena mia il cui colore agguaglia (Colombano).md,3AfCMCvcFLH9,23768322446284462312,language,,,,,,,,,,,,,,,,,,,,
MusicComposition,Tirrena mia il cui colore agguaglia (Colombano),,,Tirrena mia il cui colore agguaglia (Colombano),Tirrena mia il cui colore agguaglia (Colombano).md,3AfCMCvcFLH9,23768322446284462312,subject,,,,,,,,,,,,,,,,,,,,
MusicComposition,Tirrena mia il cui colore agguaglia (Colombano),,,Tirrena mia il cui colore agguaglia (Colombano),Tirrena mia il cui colore agguaglia (Colombano).md,3AfCMCvcFLH9,23768322446284462312,poetic_type,,,,,,,,,,,,,,,,,,,,
MusicComposition,Tirrena mia il cui colore agguaglia (Colombano),,,Tirrena mia il cui colore agguaglia (Colombano),Tirrena mia il cui colore agguaglia (Colombano).md,3AfCMCvcFLH9,23768322446284462312,depicts,,,,,,,,,,,,,,,,,,,,
MusicComposition,Tirrena mia il cui colore agguaglia (Colombano),,,Tirrena mia il cui colore agguaglia (Colombano),Tirrena mia il cui colore agguaglia (Colombano).md,3AfCMCvcFLH9,23768322446284462312,metre,,,,,,,,,,,,,,,,,,,,
