class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publisher,has_version_place_of_publication,has_version_external_source,has_version_note,has_version_publication_date,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci,Only the cantus and bassus parts survived.,,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci.md,3aoiPYjuYhze,32511281560894274406,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV18960010,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci,Only the cantus and bassus parts survived.,,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci.md,3aoiPYjuYhze,32511281560894274406,identifier,https://edit16.iccu.sbn.it/titolo/CNCE045333,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci,Only the cantus and bassus parts survived.,,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci.md,3aoiPYjuYhze,32511281560894274406,identifier,https://rism.online/sources/990056608,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci,Only the cantus and bassus parts survived.,,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci.md,3aoiPYjuYhze,32511281560894274406,described_by_source,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci,Only the cantus and bassus parts survived.,,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci.md,3aoiPYjuYhze,32511281560894274406,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGZbeqwxbiop,partbook,,,,,,,,,,,,,,,,,
NotatedMusic,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci,Only the cantus and bassus parts survived.,,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci.md,3aoiPYjuYhze,32511281560894274406,title,,,,,"Di Hippolito Sabino il seto [!] libro de madrigali a cinque, e a sei voci",,,,,,,,,,,,,,,,
NotatedMusic,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci,Only the cantus and bassus parts survived.,,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci.md,3aoiPYjuYhze,32511281560894274406,inception,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci,Only the cantus and bassus parts survived.,,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci.md,3aoiPYjuYhze,32511281560894274406,has_version,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE045333,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/exKAVeLjzKFZ', 'label': 'Giacomo Vincenti'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",https://edl.cultura.gov.it/item/yzjgxp99r7,Reprint,1588.0,https://edl-jarvis.cultura.gov.it/meta/iiif/27eff854-074b-4a53-bb07-9720f39c1398/manifest,,,,,,,,
NotatedMusic,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci,Only the cantus and bassus parts survived.,,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci.md,3aoiPYjuYhze,32511281560894274406,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QuMFfPS8j7uf,Ippolito Sabino,,,,,
NotatedMusic,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci,Only the cantus and bassus parts survived.,,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci.md,3aoiPYjuYhze,32511281560894274406,subject,,,,,,,,,,,,,,,,,,,,,
