class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Questa Luna, che sorge",,,"Questa Luna, che sorge","Questa Luna, che sorge.md",48sC97MwyezW,43756349569978500214,identifier,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Questa Luna, che sorge",,,"Questa Luna, che sorge","Questa Luna, che sorge.md",48sC97MwyezW,43756349569978500214,described_by_source,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Questa Luna, che sorge",,,"Questa Luna, che sorge","Questa Luna, che sorge.md",48sC97MwyezW,43756349569978500214,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,
PoeticWork,"Questa Luna, che sorge",,,"Questa Luna, che sorge","Questa Luna, che sorge.md",48sC97MwyezW,43756349569978500214,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LStkRDBxc8jf,Gustavus Selenus,,,,,,,,,,,,,,
PoeticWork,"Questa Luna, che sorge",,,"Questa Luna, che sorge","Questa Luna, che sorge.md",48sC97MwyezW,43756349569978500214,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MwEGezR4nEB7,Philipp Hainhofer,,,,,,,,,,,,,,
PoeticWork,"Questa Luna, che sorge",,,"Questa Luna, che sorge","Questa Luna, che sorge.md",48sC97MwyezW,43756349569978500214,part_of,,,,,,,,Un altro: del medesimo.,,,,,,,,,,,,,
PoeticWork,"Questa Luna, che sorge",,,"Questa Luna, che sorge","Questa Luna, che sorge.md",48sC97MwyezW,43756349569978500214,based_on,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Questa Luna, che sorge",,,"Questa Luna, che sorge","Questa Luna, che sorge.md",48sC97MwyezW,43756349569978500214,derivative_work,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Questa Luna, che sorge",,,"Questa Luna, che sorge","Questa Luna, che sorge.md",48sC97MwyezW,43756349569978500214,subject,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,,
PoeticWork,"Questa Luna, che sorge",,,"Questa Luna, che sorge","Questa Luna, che sorge.md",48sC97MwyezW,43756349569978500214,subject,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f2FEyateEsYj,astronomy,,,,,,,,,
PoeticWork,"Questa Luna, che sorge",,,"Questa Luna, che sorge","Questa Luna, che sorge.md",48sC97MwyezW,43756349569978500214,poetic_type,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
PoeticWork,"Questa Luna, che sorge",,,"Questa Luna, che sorge","Questa Luna, che sorge.md",48sC97MwyezW,43756349569978500214,metre,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"Questa Luna, che sorge",,,"Questa Luna, che sorge","Questa Luna, che sorge.md",48sC97MwyezW,43756349569978500214,metre,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,"Questa Luna, che sorge",,,"Questa Luna, che sorge","Questa Luna, che sorge.md",48sC97MwyezW,43756349569978500214,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9R22nChmKScL,celestial body,,,
PoeticWork,"Questa Luna, che sorge",,,"Questa Luna, che sorge","Questa Luna, che sorge.md",48sC97MwyezW,43756349569978500214,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZrQCbqiD2eU2,Moon,,,
PoeticWork,"Questa Luna, che sorge",,,"Questa Luna, che sorge","Questa Luna, che sorge.md",48sC97MwyezW,43756349569978500214,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SXrVe27zaz8x,light beam,,,
PoeticWork,"Questa Luna, che sorge",,,"Questa Luna, che sorge","Questa Luna, che sorge.md",48sC97MwyezW,43756349569978500214,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JZcMnFUyKqYJ,Artemis,,,
PoeticWork,"Questa Luna, che sorge",,,"Questa Luna, che sorge","Questa Luna, che sorge.md",48sC97MwyezW,43756349569978500214,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/d6Scakn6F3bd,Sun,,,
PoeticWork,"Questa Luna, che sorge",,,"Questa Luna, che sorge","Questa Luna, che sorge.md",48sC97MwyezW,43756349569978500214,language,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
