class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_IIIF_manifest,has_version_external_source,has_version_place_of_publication,has_version_publication_date,has_version_publisher,has_version_note,has_version_permalink,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,"Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci",,,"Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci","Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci.md",49Hh97TQ9Css,43905664643782523749,identifier,https://edit16.iccu.sbn.it/titolo/CNCE036951,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci",,,"Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci","Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci.md",49Hh97TQ9Css,43905664643782523749,identifier,https://rism.online/sources/990009220,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci",,,"Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci","Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci.md",49Hh97TQ9Css,43905664643782523749,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/NV04550010,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci",,,"Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci","Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci.md",49Hh97TQ9Css,43905664643782523749,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci",,,"Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci","Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci.md",49Hh97TQ9Css,43905664643782523749,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,,,
NotatedMusic,"Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci",,,"Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci","Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci.md",49Hh97TQ9Css,43905664643782523749,title,,,,,,"Di Pietro Cauatoni veronese, Il primo libro de madrigali a cinque voci",,,,,,,,,,,,,,,,
NotatedMusic,"Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci",,,"Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci","Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci.md",49Hh97TQ9Css,43905664643782523749,inception,,,,,,,1579.0,,,,,,,,,,,,,,,
NotatedMusic,"Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci",,,"Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci","Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci.md",49Hh97TQ9Css,43905664643782523749,has_version,,,,,,,,https://edl-jarvis.cultura.gov.it/meta/iiif/ffbb57cb-aefc-4778-b5a2-06e63e891794/manifest,https://edl.cultura.gov.it/item/xojw0qg65v,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1579.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jeu6p2mjCMNZ', 'label': 'Francesco Rampazetto'}",Only altus and bassus.,https://edit16.iccu.sbn.it/titolo/CNCE036951,,,,,,,,
NotatedMusic,"Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci",,,"Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci","Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci.md",49Hh97TQ9Css,43905664643782523749,has_version,,,,,,,,,http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_S/S001/,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1579.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jeu6p2mjCMNZ', 'label': 'Francesco Rampazetto'}",Bassus missing.,https://edit16.iccu.sbn.it/titolo/CNCE036951,,,,,,,,
NotatedMusic,"Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci",,,"Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci","Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci.md",49Hh97TQ9Css,43905664643782523749,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bAdGh4MhQRob,Pietro Cavatoni,,,,,
