class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_publisher,has_version_place_of_publication,has_version_external_source,has_version_holding_institution,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,based_on_value,catalog_identifier_value,has_part_value
Book,Rime del molto illustre signor cavaliere Battista Guarini,,,Rime del molto illustre signor cavaliere Battista Guarini,Rime del molto illustre signor cavaliere Battista Guarini.md,4ZML5eP7iYqa,52617523675289945852,identifier,https://edit16.iccu.sbn.it/titolo/CNCE021980,,,,,,,,,,,,,,,,,,,,
Book,Rime del molto illustre signor cavaliere Battista Guarini,,,Rime del molto illustre signor cavaliere Battista Guarini,Rime del molto illustre signor cavaliere Battista Guarini.md,4ZML5eP7iYqa,52617523675289945852,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,
Book,Rime del molto illustre signor cavaliere Battista Guarini,,,Rime del molto illustre signor cavaliere Battista Guarini,Rime del molto illustre signor cavaliere Battista Guarini.md,4ZML5eP7iYqa,52617523675289945852,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,,
Book,Rime del molto illustre signor cavaliere Battista Guarini,,,Rime del molto illustre signor cavaliere Battista Guarini,Rime del molto illustre signor cavaliere Battista Guarini.md,4ZML5eP7iYqa,52617523675289945852,title,,,,,,"Rime del molto illustre signor caualiere Battista Guarini dedicate all'illustrissimo, et reuerendissimo signor cardinale Pietro Aldobrandini. Sopraintendente generale dello stato ecclesiastico per tutta Italia, et legato a latere et vicario generale in temporale, et spirituale nella città, et ducato di Fearrara [!] &c",,,,,,,,,,,,,,,
Book,Rime del molto illustre signor cavaliere Battista Guarini,,,Rime del molto illustre signor cavaliere Battista Guarini,Rime del molto illustre signor cavaliere Battista Guarini.md,4ZML5eP7iYqa,52617523675289945852,inception,,,,,,,1598.0,,,,,,,,,,,,,,
Book,Rime del molto illustre signor cavaliere Battista Guarini,,,Rime del molto illustre signor cavaliere Battista Guarini,Rime del molto illustre signor cavaliere Battista Guarini.md,4ZML5eP7iYqa,52617523675289945852,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE021980,1598.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mBuz2DVvb28R', 'label': 'Giovanni Battista Ciotti'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",https://www.digitale-sammlungen.de/en/view/bsb10166540,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vr34aVTZvrrW', 'label': 'Munich Digitization Center'}",https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10166540/manifest,,,,,,,
Book,Rime del molto illustre signor cavaliere Battista Guarini,,,Rime del molto illustre signor cavaliere Battista Guarini,Rime del molto illustre signor cavaliere Battista Guarini.md,4ZML5eP7iYqa,52617523675289945852,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2hzh3As9hqrE,Battista Guarini,,,,
Book,Rime del molto illustre signor cavaliere Battista Guarini,,,Rime del molto illustre signor cavaliere Battista Guarini,Rime del molto illustre signor cavaliere Battista Guarini.md,4ZML5eP7iYqa,52617523675289945852,subject,,,,,,,,,,,,,,,,,,,,,
Book,Rime del molto illustre signor cavaliere Battista Guarini,,,Rime del molto illustre signor cavaliere Battista Guarini,Rime del molto illustre signor cavaliere Battista Guarini.md,4ZML5eP7iYqa,52617523675289945852,based_on,,,,,,,,,,,,,,,,,,,,,
Book,Rime del molto illustre signor cavaliere Battista Guarini,,,Rime del molto illustre signor cavaliere Battista Guarini,Rime del molto illustre signor cavaliere Battista Guarini.md,4ZML5eP7iYqa,52617523675289945852,catalog_identifier,,,,,,,,,,,,,,,,,,,,,
Book,Rime del molto illustre signor cavaliere Battista Guarini,,,Rime del molto illustre signor cavaliere Battista Guarini,Rime del molto illustre signor cavaliere Battista Guarini.md,4ZML5eP7iYqa,52617523675289945852,has_part,,,,,,,,,,,,,,,,,,,,,
