class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Orazio Colombano,,,Orazio Colombano,Orazio Colombano.md,4y4FT2BctVBL,61197833397388655484,identifier,http://www.wikidata.org/entity/Q55226760,,,,,,,,,,,,,,
Agent,Orazio Colombano,,,Orazio Colombano,Orazio Colombano.md,4y4FT2BctVBL,61197833397388655484,described_by_source,,,,,,,,,,,,,,,
Agent,Orazio Colombano,,,Orazio Colombano,Orazio Colombano.md,4y4FT2BctVBL,61197833397388655484,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,Orazio Colombano,,,Orazio Colombano,Orazio Colombano.md,4y4FT2BctVBL,61197833397388655484,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,
Agent,Orazio Colombano,,,Orazio Colombano,Orazio Colombano.md,4y4FT2BctVBL,61197833397388655484,work_location,,,,,,,,,,,,,,,
Agent,Orazio Colombano,,,Orazio Colombano,Orazio Colombano.md,4y4FT2BctVBL,61197833397388655484,member_of,,,,,,,,,,,,,,,
Agent,Orazio Colombano,,,Orazio Colombano,Orazio Colombano.md,4y4FT2BctVBL,61197833397388655484,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,
Agent,Orazio Colombano,,,Orazio Colombano,Orazio Colombano.md,4y4FT2BctVBL,61197833397388655484,related_to,,,,,,,,,,,,,,,
Agent,Orazio Colombano,,,Orazio Colombano,Orazio Colombano.md,4y4FT2BctVBL,61197833397388655484,notable_work,,,,,,,,,,,,,,,
Agent,Orazio Colombano,,,Orazio Colombano,Orazio Colombano.md,4y4FT2BctVBL,61197833397388655484,interested_in,,,,,,,,,,,,,,,
Agent,Orazio Colombano,,,Orazio Colombano,Orazio Colombano.md,4y4FT2BctVBL,61197833397388655484,catalog_identifier,,,,,,,,,,,,,,,
Agent,Orazio Colombano,,,Orazio Colombano,Orazio Colombano.md,4y4FT2BctVBL,61197833397388655484,present_in_work,,,,,,,,,,,,,,,
