class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_volume,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Acqua che altro Christal puro riceve,,,Acqua che altro Christal puro riceve,Acqua che altro Christal puro riceve.md,59gYnEh92pRb,64686717878931697026,identifier,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Acqua che altro Christal puro riceve,,,Acqua che altro Christal puro riceve,Acqua che altro Christal puro riceve.md,59gYnEh92pRb,64686717878931697026,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Acqua che altro Christal puro riceve,,,Acqua che altro Christal puro riceve,Acqua che altro Christal puro riceve.md,59gYnEh92pRb,64686717878931697026,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Acqua che altro Christal puro riceve,,,Acqua che altro Christal puro riceve,Acqua che altro Christal puro riceve.md,59gYnEh92pRb,64686717878931697026,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aS9jDyDiqBTA,Francesco Maria Santinelli,,,,,,,,,,,,,,,,,,
PoeticWork,Acqua che altro Christal puro riceve,,,Acqua che altro Christal puro riceve,Acqua che altro Christal puro riceve.md,59gYnEh92pRb,64686717878931697026,part_of,,,,,,,,"Canto XIV, 6",L'antro e lo coglio di Artefio,125.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JQq3N3zLE9Lo,(Santinelli 1985),,,,,,,,,,,,,
PoeticWork,Acqua che altro Christal puro riceve,,,Acqua che altro Christal puro riceve,Acqua che altro Christal puro riceve.md,59gYnEh92pRb,64686717878931697026,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Acqua che altro Christal puro riceve,,,Acqua che altro Christal puro riceve,Acqua che altro Christal puro riceve.md,59gYnEh92pRb,64686717878931697026,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Acqua che altro Christal puro riceve,,,Acqua che altro Christal puro riceve,Acqua che altro Christal puro riceve.md,59gYnEh92pRb,64686717878931697026,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WziXzP4KdMYo,alchemy,,,,,,,,,
PoeticWork,Acqua che altro Christal puro riceve,,,Acqua che altro Christal puro riceve,Acqua che altro Christal puro riceve.md,59gYnEh92pRb,64686717878931697026,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nkvGUfVFSUHZ,ottava rima,,,,,,,
PoeticWork,Acqua che altro Christal puro riceve,,,Acqua che altro Christal puro riceve,Acqua che altro Christal puro riceve.md,59gYnEh92pRb,64686717878931697026,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Acqua che altro Christal puro riceve,,,Acqua che altro Christal puro riceve,Acqua che altro Christal puro riceve.md,59gYnEh92pRb,64686717878931697026,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NbBMYT8M5qdr,flame,,,
PoeticWork,Acqua che altro Christal puro riceve,,,Acqua che altro Christal puro riceve,Acqua che altro Christal puro riceve.md,59gYnEh92pRb,64686717878931697026,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CN8Enfj3fB4y,water,,,
PoeticWork,Acqua che altro Christal puro riceve,,,Acqua che altro Christal puro riceve,Acqua che altro Christal puro riceve.md,59gYnEh92pRb,64686717878931697026,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MpMUKqsEDnqP,silver,,,
PoeticWork,Acqua che altro Christal puro riceve,,,Acqua che altro Christal puro riceve,Acqua che altro Christal puro riceve.md,59gYnEh92pRb,64686717878931697026,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RhGJjJndPMM8,classical elements,,,
PoeticWork,Acqua che altro Christal puro riceve,,,Acqua che altro Christal puro riceve,Acqua che altro Christal puro riceve.md,59gYnEh92pRb,64686717878931697026,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Acqua che altro Christal puro riceve,,,Acqua che altro Christal puro riceve,Acqua che altro Christal puro riceve.md,59gYnEh92pRb,64686717878931697026,text,,,,,,,,,,,,,,,,,,,,,,,,,"Acqua che altro Christal puro riceve
Lucido più, che raffinato Argento
Presso al di cui candor bruna è la neve
È il foco al moto suo men violento
Acqua, ch'è tutta spirito, ed è sì leve
Che senza il corpo suo vola col vento
Né fuor che al corpo suo s'unisce e stagna,
In altra acqua, che lava, e man non bagna."
