class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Irene Castriota Scanderbeg,,"['Erina Castriota', 'Herina Castriota']",Irene Castriota Scanderbeg,Irene Castriota Scanderbeg.md,5nowbx9kmhYW,78128954164839552157,identifier,http://www.wikidata.org/entity/Q60447673,,,,,,,,,,,,,,
Agent,Irene Castriota Scanderbeg,,"['Erina Castriota', 'Herina Castriota']",Irene Castriota Scanderbeg,Irene Castriota Scanderbeg.md,5nowbx9kmhYW,78128954164839552157,described_by_source,,,,,,,,,,,,,,,
Agent,Irene Castriota Scanderbeg,,"['Erina Castriota', 'Herina Castriota']",Irene Castriota Scanderbeg,Irene Castriota Scanderbeg.md,5nowbx9kmhYW,78128954164839552157,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,Irene Castriota Scanderbeg,,"['Erina Castriota', 'Herina Castriota']",Irene Castriota Scanderbeg,Irene Castriota Scanderbeg.md,5nowbx9kmhYW,78128954164839552157,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,
Agent,Irene Castriota Scanderbeg,,"['Erina Castriota', 'Herina Castriota']",Irene Castriota Scanderbeg,Irene Castriota Scanderbeg.md,5nowbx9kmhYW,78128954164839552157,work_location,,,,,,,,,,,,,,,
Agent,Irene Castriota Scanderbeg,,"['Erina Castriota', 'Herina Castriota']",Irene Castriota Scanderbeg,Irene Castriota Scanderbeg.md,5nowbx9kmhYW,78128954164839552157,member_of,,,,,,,,,,,,,,,
Agent,Irene Castriota Scanderbeg,,"['Erina Castriota', 'Herina Castriota']",Irene Castriota Scanderbeg,Irene Castriota Scanderbeg.md,5nowbx9kmhYW,78128954164839552157,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LyEatsU6bs4d,politician,,,,,
Agent,Irene Castriota Scanderbeg,,"['Erina Castriota', 'Herina Castriota']",Irene Castriota Scanderbeg,Irene Castriota Scanderbeg.md,5nowbx9kmhYW,78128954164839552157,related_to,,,,,,,,,,,,,,,
Agent,Irene Castriota Scanderbeg,,"['Erina Castriota', 'Herina Castriota']",Irene Castriota Scanderbeg,Irene Castriota Scanderbeg.md,5nowbx9kmhYW,78128954164839552157,notable_work,,,,,,,,,,,,,,,
Agent,Irene Castriota Scanderbeg,,"['Erina Castriota', 'Herina Castriota']",Irene Castriota Scanderbeg,Irene Castriota Scanderbeg.md,5nowbx9kmhYW,78128954164839552157,interested_in,,,,,,,,,,,,,,,
Agent,Irene Castriota Scanderbeg,,"['Erina Castriota', 'Herina Castriota']",Irene Castriota Scanderbeg,Irene Castriota Scanderbeg.md,5nowbx9kmhYW,78128954164839552157,catalog_identifier,,,,,,,,,,,,,,,
Agent,Irene Castriota Scanderbeg,,"['Erina Castriota', 'Herina Castriota']",Irene Castriota Scanderbeg,Irene Castriota Scanderbeg.md,5nowbx9kmhYW,78128954164839552157,present_in_work,,,,,,,,,,,,,,,
