class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_start_date,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Isabella Cervoni,,,Isabella Cervoni,Isabella Cervoni.md,5r8TAJKi9FRU,79326210288294734360,identifier,http://www.wikidata.org/entity/Q3802260,,,,,,,,,,,,,,,,,,,
Agent,Isabella Cervoni,,,Isabella Cervoni,Isabella Cervoni.md,5r8TAJKi9FRU,79326210288294734360,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV,(Cox 2020),,,,,,,,,,,,,,,,,
Agent,Isabella Cervoni,,,Isabella Cervoni,Isabella Cervoni.md,5r8TAJKi9FRU,79326210288294734360,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,
Agent,Isabella Cervoni,,,Isabella Cervoni,Isabella Cervoni.md,5r8TAJKi9FRU,79326210288294734360,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,
Agent,Isabella Cervoni,,,Isabella Cervoni,Isabella Cervoni.md,5r8TAJKi9FRU,79326210288294734360,work_location,,,,,,,,,,,,,,,,,,,,
Agent,Isabella Cervoni,,,Isabella Cervoni,Isabella Cervoni.md,5r8TAJKi9FRU,79326210288294734360,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2yZYoUz5K9XG,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",1599.0,Accademia degli Affidati di Pavia,,,,,,,,
Agent,Isabella Cervoni,,,Isabella Cervoni,Isabella Cervoni.md,5r8TAJKi9FRU,79326210288294734360,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,
Agent,Isabella Cervoni,,,Isabella Cervoni,Isabella Cervoni.md,5r8TAJKi9FRU,79326210288294734360,related_to,,,,,,,,,,,,,,,,,,,,
Agent,Isabella Cervoni,,,Isabella Cervoni,Isabella Cervoni.md,5r8TAJKi9FRU,79326210288294734360,notable_work,,,,,,,,,,,,,,,,,,,,
Agent,Isabella Cervoni,,,Isabella Cervoni,Isabella Cervoni.md,5r8TAJKi9FRU,79326210288294734360,interested_in,,,,,,,,,,,,,,,,,,,,
Agent,Isabella Cervoni,,,Isabella Cervoni,Isabella Cervoni.md,5r8TAJKi9FRU,79326210288294734360,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iQ4o46B3wUmP', 'label': 'Italian Women Writers'}",A0109,
Agent,Isabella Cervoni,,,Isabella Cervoni,Isabella Cervoni.md,5r8TAJKi9FRU,79326210288294734360,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",16291,
Agent,Isabella Cervoni,,,Isabella Cervoni,Isabella Cervoni.md,5r8TAJKi9FRU,79326210288294734360,present_in_work,,,,,,,,,,,,,,,,,,,,
