class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Francesco Andreini,,,Francesco Andreini,Francesco Andreini.md,5tyj9gRyxuZn,80363280256937794316,identifier,http://www.wikidata.org/entity/Q1388981,,,,,,,,,,,,,,,,,,
Agent,Francesco Andreini,,,Francesco Andreini,Francesco Andreini.md,5tyj9gRyxuZn,80363280256937794316,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX,(Ferrone 2011),,,,,,,,,,,,,,,,
Agent,Francesco Andreini,,,Francesco Andreini,Francesco Andreini.md,5tyj9gRyxuZn,80363280256937794316,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Francesco Andreini,,,Francesco Andreini,Francesco Andreini.md,5tyj9gRyxuZn,80363280256937794316,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Francesco Andreini,,,Francesco Andreini,Francesco Andreini.md,5tyj9gRyxuZn,80363280256937794316,work_location,,,,,,,,,,,,,,,,,,,
Agent,Francesco Andreini,,,Francesco Andreini,Francesco Andreini.md,5tyj9gRyxuZn,80363280256937794316,member_of,,,,,,,,,,,,,,,,,,,
Agent,Francesco Andreini,,,Francesco Andreini,Francesco Andreini.md,5tyj9gRyxuZn,80363280256937794316,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/imEvebZ5kR6C,actor,,,,,,,,
Agent,Francesco Andreini,,,Francesco Andreini,Francesco Andreini.md,5tyj9gRyxuZn,80363280256937794316,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/65G5PeyB3GE6,playwright,,,,,,,,
Agent,Francesco Andreini,,,Francesco Andreini,Francesco Andreini.md,5tyj9gRyxuZn,80363280256937794316,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ke7Y8iiuR8Rg,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WBaaDcSW6iHF', 'label': 'husband'}",Isabella Andreini,,,,,
Agent,Francesco Andreini,,,Francesco Andreini,Francesco Andreini.md,5tyj9gRyxuZn,80363280256937794316,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RGkwj2SrHSi5,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EGhZrKVC8j78', 'label': 'parent'}",Giovanni Battista Andreini,,,,,
Agent,Francesco Andreini,,,Francesco Andreini,Francesco Andreini.md,5tyj9gRyxuZn,80363280256937794316,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Francesco Andreini,,,Francesco Andreini,Francesco Andreini.md,5tyj9gRyxuZn,80363280256937794316,interested_in,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,
Agent,Francesco Andreini,,,Francesco Andreini,Francesco Andreini.md,5tyj9gRyxuZn,80363280256937794316,catalog_identifier,,,,,,,,,,,,,,,,,,,
Agent,Francesco Andreini,,,Francesco Andreini,Francesco Andreini.md,5tyj9gRyxuZn,80363280256937794316,present_in_work,,,,,,,,,,,,,,,,,,,
