class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,metre_value,metre_label,depicts_value,text_value,described_by_source_value,described_by_source_label
PoeticWork,"O bella Dea, che da' celesti giri","O bella Dea, che da' celesti giri.md","O bella Dea, che da' celesti giri",6jzjxCdpZDBm,97747322555826525445,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,
PoeticWork,"O bella Dea, che da' celesti giri","O bella Dea, che da' celesti giri.md","O bella Dea, che da' celesti giri",6jzjxCdpZDBm,97747322555826525445,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8jYaJTW8GF9y,Claudio Tolomei,,,,,,,,,,,,
PoeticWork,"O bella Dea, che da' celesti giri","O bella Dea, che da' celesti giri.md","O bella Dea, che da' celesti giri",6jzjxCdpZDBm,97747322555826525445,part_of,,,,,,,,,,,,,,,,,
PoeticWork,"O bella Dea, che da' celesti giri","O bella Dea, che da' celesti giri.md","O bella Dea, che da' celesti giri",6jzjxCdpZDBm,97747322555826525445,based_on,,,,,,,,,,,,,,,,,
PoeticWork,"O bella Dea, che da' celesti giri","O bella Dea, che da' celesti giri.md","O bella Dea, che da' celesti giri",6jzjxCdpZDBm,97747322555826525445,derivative_work,,,,,,,,,,,,,,,,,
PoeticWork,"O bella Dea, che da' celesti giri","O bella Dea, che da' celesti giri.md","O bella Dea, che da' celesti giri",6jzjxCdpZDBm,97747322555826525445,subject,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,
PoeticWork,"O bella Dea, che da' celesti giri","O bella Dea, che da' celesti giri.md","O bella Dea, che da' celesti giri",6jzjxCdpZDBm,97747322555826525445,subject,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aTk9hoymKNbk,Accademia delle Virtù,,,,,,,
PoeticWork,"O bella Dea, che da' celesti giri","O bella Dea, che da' celesti giri.md","O bella Dea, che da' celesti giri",6jzjxCdpZDBm,97747322555826525445,poetic_type,,,,,,,,,,,,,,,,,
PoeticWork,"O bella Dea, che da' celesti giri","O bella Dea, che da' celesti giri.md","O bella Dea, che da' celesti giri",6jzjxCdpZDBm,97747322555826525445,metre,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,
PoeticWork,"O bella Dea, che da' celesti giri","O bella Dea, che da' celesti giri.md","O bella Dea, che da' celesti giri",6jzjxCdpZDBm,97747322555826525445,depicts,,,,,,,,,,,,,,,,,
PoeticWork,"O bella Dea, che da' celesti giri","O bella Dea, che da' celesti giri.md","O bella Dea, che da' celesti giri",6jzjxCdpZDBm,97747322555826525445,text,,,,,,,,,,,,,,,"O bella Dea, che da' celesti giri
Discesa in terra sei spinta d'amore;
Che già gli spirti eletti infiammati e inspiri,
E vesti il mondo, di novel colore;
Empi di santi affetti, e bei desiri,
A questa schiera Virtuosa i core.",,
PoeticWork,"O bella Dea, che da' celesti giri","O bella Dea, che da' celesti giri.md","O bella Dea, che da' celesti giri",6jzjxCdpZDBm,97747322555826525445,described_by_source,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5ZmX4c5h8CRb,(Moroncini 2017)
