class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value
MusicComposition,Qual fosse il mio partire (Cottone),The altus part is missing in the second part.,,Qual fosse il mio partire (Cottone),Qual fosse il mio partire (Cottone).md,6nZitfEgebD3,98674517664647220913,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F225790001010101_000000072900C,,,,,,,,,,,,,
MusicComposition,Qual fosse il mio partire (Cottone),The altus part is missing in the second part.,,Qual fosse il mio partire (Cottone),Qual fosse il mio partire (Cottone).md,6nZitfEgebD3,98674517664647220913,described_by_source,,,,,,,,,,,,,,
MusicComposition,Qual fosse il mio partire (Cottone),The altus part is missing in the second part.,,Qual fosse il mio partire (Cottone),Qual fosse il mio partire (Cottone).md,6nZitfEgebD3,98674517664647220913,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KMtT3sEksj7N,madrigal,,,,,,,,,,
MusicComposition,Qual fosse il mio partire (Cottone),The altus part is missing in the second part.,,Qual fosse il mio partire (Cottone),Qual fosse il mio partire (Cottone).md,6nZitfEgebD3,98674517664647220913,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gFBshLVTMG7b,incomplete,,,,,,,,,,
MusicComposition,Qual fosse il mio partire (Cottone),The altus part is missing in the second part.,,Qual fosse il mio partire (Cottone),Qual fosse il mio partire (Cottone).md,6nZitfEgebD3,98674517664647220913,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dGUWfMNNCYuo,Gaspara Stampa,,,,,,,
MusicComposition,Qual fosse il mio partire (Cottone),The altus part is missing in the second part.,,Qual fosse il mio partire (Cottone),Qual fosse il mio partire (Cottone).md,6nZitfEgebD3,98674517664647220913,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kyhXcTbM4cFT,Giovanni Pietro Cottone,,,,,,,
MusicComposition,Qual fosse il mio partire (Cottone),The altus part is missing in the second part.,,Qual fosse il mio partire (Cottone),Qual fosse il mio partire (Cottone).md,6nZitfEgebD3,98674517664647220913,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5urjtE3iag5Z,"Di Giovan Pietro Cottone musico del serenissimo duca di Savoia, il secondo libro de madrigali a cinque voci",,,,,
MusicComposition,Qual fosse il mio partire (Cottone),The altus part is missing in the second part.,,Qual fosse il mio partire (Cottone),Qual fosse il mio partire (Cottone).md,6nZitfEgebD3,98674517664647220913,instrumentation,,,,,,,,,,,,,,
MusicComposition,Qual fosse il mio partire (Cottone),The altus part is missing in the second part.,,Qual fosse il mio partire (Cottone),Qual fosse il mio partire (Cottone).md,6nZitfEgebD3,98674517664647220913,based_on,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jNK4ohcfYzzc,Qual fosse il mio martire,,
MusicComposition,Qual fosse il mio partire (Cottone),The altus part is missing in the second part.,,Qual fosse il mio partire (Cottone),Qual fosse il mio partire (Cottone).md,6nZitfEgebD3,98674517664647220913,derivative_work,,,,,,,,,,,,,,
MusicComposition,Qual fosse il mio partire (Cottone),The altus part is missing in the second part.,,Qual fosse il mio partire (Cottone),Qual fosse il mio partire (Cottone).md,6nZitfEgebD3,98674517664647220913,text,,,,,,,,,,,,,,
