class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_reference,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Vincenzo Brusantini,,['Vincenzo Brusantino'],Vincenzo Brusantini,Vincenzo Brusantini.md,7BiaGa2ziHsu,106695452126218785543,identifier,http://www.wikidata.org/entity/Q55226068,,,,,,,,,,,,,,,,,,
Agent,Vincenzo Brusantini,,['Vincenzo Brusantino'],Vincenzo Brusantini,Vincenzo Brusantini.md,7BiaGa2ziHsu,106695452126218785543,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/97PuKNkGqtm2,(Bolzoni and Girotto 2013),,,,,,,,,,,,,,,,
Agent,Vincenzo Brusantini,,['Vincenzo Brusantino'],Vincenzo Brusantini,Vincenzo Brusantini.md,7BiaGa2ziHsu,106695452126218785543,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Vincenzo Brusantini,,['Vincenzo Brusantino'],Vincenzo Brusantini,Vincenzo Brusantini.md,7BiaGa2ziHsu,106695452126218785543,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Vincenzo Brusantini,,['Vincenzo Brusantino'],Vincenzo Brusantini,Vincenzo Brusantini.md,7BiaGa2ziHsu,106695452126218785543,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo,Ferrara,,,,,,,,,,
Agent,Vincenzo Brusantini,,['Vincenzo Brusantino'],Vincenzo Brusantini,Vincenzo Brusantini.md,7BiaGa2ziHsu,106695452126218785543,member_of,,,,,,,,,,,,,,,,,,,
Agent,Vincenzo Brusantini,,['Vincenzo Brusantino'],Vincenzo Brusantini,Vincenzo Brusantini.md,7BiaGa2ziHsu,106695452126218785543,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BvVWzBztq38s,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}]",poetry,,,,,,
Agent,Vincenzo Brusantini,,['Vincenzo Brusantino'],Vincenzo Brusantini,Vincenzo Brusantini.md,7BiaGa2ziHsu,106695452126218785543,related_to,,,,,,,,,,,,,,,,,,,
Agent,Vincenzo Brusantini,,['Vincenzo Brusantino'],Vincenzo Brusantini,Vincenzo Brusantini.md,7BiaGa2ziHsu,106695452126218785543,notable_work,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mvVeWXsTMvFa,"Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese",,,
Agent,Vincenzo Brusantini,,['Vincenzo Brusantino'],Vincenzo Brusantini,Vincenzo Brusantini.md,7BiaGa2ziHsu,106695452126218785543,interested_in,,,,,,,,,,,,,,,,,,,
Agent,Vincenzo Brusantini,,['Vincenzo Brusantino'],Vincenzo Brusantini,Vincenzo Brusantini.md,7BiaGa2ziHsu,106695452126218785543,catalog_identifier,,,,,,,,,,,,,,,,,,,
Agent,Vincenzo Brusantini,,['Vincenzo Brusantino'],Vincenzo Brusantini,Vincenzo Brusantini.md,7BiaGa2ziHsu,106695452126218785543,present_in_work,,,,,,,,,,,,,,,,,,,
