class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_volume,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,7aEBjVVcRKrU,114841867571123346269,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/023520000101_PPPP00286400C,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,7aEBjVVcRKrU,114841867571123346269,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,7aEBjVVcRKrU,114841867571123346269,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,7aEBjVVcRKrU,114841867571123346269,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oVgX4nooPy2A,Tarquinia Molza,,,,,,,,,,,,,,,,,,
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,7aEBjVVcRKrU,114841867571123346269,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UJZ7Qau55M9Z,Torquato Tasso,,,,,,,,,,,,,,,,,,
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,7aEBjVVcRKrU,114841867571123346269,part_of,,,,,,,,,Torquato Tasso. Per la Illustre Sign. Tarquinia Molza.,1.0,38.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MW7UE9R8m7LS,Il Gareggiamento poetico del Confuso Accademico Ordito,,,,,,,,,,,,,
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,7aEBjVVcRKrU,114841867571123346269,based_on,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,7aEBjVVcRKrU,114841867571123346269,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,7aEBjVVcRKrU,114841867571123346269,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfsD5EcdZsxp,praise,,,,,,,,,
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,7aEBjVVcRKrU,114841867571123346269,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7f7aTSJBCVeC,musician,,,,,,,,,
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,7aEBjVVcRKrU,114841867571123346269,poetic_type,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NiFCVHMLTGkp,madrigale,,,,,,,
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,7aEBjVVcRKrU,114841867571123346269,metre,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,7aEBjVVcRKrU,114841867571123346269,metre,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kBwkVvdhkrbQ,heptasyllable,,,,,
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,7aEBjVVcRKrU,114841867571123346269,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oVgX4nooPy2A,Tarquinia Molza,,,
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,7aEBjVVcRKrU,114841867571123346269,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4fRE7J9jYy6N,music making,,,
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,7aEBjVVcRKrU,114841867571123346269,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2tBp5oPS8ekR,dawn,,,
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,7aEBjVVcRKrU,114841867571123346269,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Nf6cF32SCt6E,singing,,,
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,7aEBjVVcRKrU,114841867571123346269,language,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,7aEBjVVcRKrU,114841867571123346269,text,,,,,,,,,,,,,,,,,,,,,,,,,,"Forse è cagion l'Aurora
Di questo bel concento,
Che fan le fronde, e i rami, e l'acque, e'l vento?
Oh con sì dolce modo
Il Ciel Tarquinia honora,
E per lei de la terra s'innamora?
I' odo (o parmi) i' odo
La voce ella è pur dessa
Ecco Tarquinia viene, Amor s'appressa."
