class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Girolamo Bartolomei,,['Girolamo Bartolommei'],Girolamo Bartolomei,Girolamo Bartolomei.md,87Q6reeKpipr,125765838986788952466,identifier,,,,,,,,,,,,,,,
Agent,Girolamo Bartolomei,,['Girolamo Bartolommei'],Girolamo Bartolomei,Girolamo Bartolomei.md,87Q6reeKpipr,125765838986788952466,described_by_source,,,,,,,,,,,,,,,
Agent,Girolamo Bartolomei,,['Girolamo Bartolommei'],Girolamo Bartolomei,Girolamo Bartolomei.md,87Q6reeKpipr,125765838986788952466,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,
Agent,Girolamo Bartolomei,,['Girolamo Bartolommei'],Girolamo Bartolomei,Girolamo Bartolomei.md,87Q6reeKpipr,125765838986788952466,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,
Agent,Girolamo Bartolomei,,['Girolamo Bartolommei'],Girolamo Bartolomei,Girolamo Bartolomei.md,87Q6reeKpipr,125765838986788952466,work_location,,,,,,,,,,,,,,,
Agent,Girolamo Bartolomei,,['Girolamo Bartolommei'],Girolamo Bartolomei,Girolamo Bartolomei.md,87Q6reeKpipr,125765838986788952466,member_of,,,,,,,,,,,,,,,
Agent,Girolamo Bartolomei,,['Girolamo Bartolommei'],Girolamo Bartolomei,Girolamo Bartolomei.md,87Q6reeKpipr,125765838986788952466,occupation,,,,,,,,,,,,,,,
Agent,Girolamo Bartolomei,,['Girolamo Bartolommei'],Girolamo Bartolomei,Girolamo Bartolomei.md,87Q6reeKpipr,125765838986788952466,related_to,,,,,,,,,,,,,,,
Agent,Girolamo Bartolomei,,['Girolamo Bartolommei'],Girolamo Bartolomei,Girolamo Bartolomei.md,87Q6reeKpipr,125765838986788952466,notable_work,,,,,,,,,,,,,,,
Agent,Girolamo Bartolomei,,['Girolamo Bartolommei'],Girolamo Bartolomei,Girolamo Bartolomei.md,87Q6reeKpipr,125765838986788952466,interested_in,,,,,,,,,,,,,,,
Agent,Girolamo Bartolomei,,['Girolamo Bartolommei'],Girolamo Bartolomei,Girolamo Bartolomei.md,87Q6reeKpipr,125765838986788952466,catalog_identifier,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",18194.0,
Agent,Girolamo Bartolomei,,['Girolamo Bartolommei'],Girolamo Bartolomei,Girolamo Bartolomei.md,87Q6reeKpipr,125765838986788952466,present_in_work,,,,,,,,,,,,,,,
