class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Francesco Antonazzoni,,Ortensio,Francesco Antonazzoni,Francesco Antonazzoni.md,8B7RQ8QV38Sj,127108062748805301824,identifier,,,,,,,,,,,,,,,,,,,
Agent,Francesco Antonazzoni,,Ortensio,Francesco Antonazzoni,Francesco Antonazzoni.md,8B7RQ8QV38Sj,127108062748805301824,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX,(Ferrone 2011),,,,,,,,,,,,,,,,
Agent,Francesco Antonazzoni,,Ortensio,Francesco Antonazzoni,Francesco Antonazzoni.md,8B7RQ8QV38Sj,127108062748805301824,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Francesco Antonazzoni,,Ortensio,Francesco Antonazzoni,Francesco Antonazzoni.md,8B7RQ8QV38Sj,127108062748805301824,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Francesco Antonazzoni,,Ortensio,Francesco Antonazzoni,Francesco Antonazzoni.md,8B7RQ8QV38Sj,127108062748805301824,work_location,,,,,,,,,,,,,,,,,,,
Agent,Francesco Antonazzoni,,Ortensio,Francesco Antonazzoni,Francesco Antonazzoni.md,8B7RQ8QV38Sj,127108062748805301824,member_of,,,,,,,,,,,,,,,,,,,
Agent,Francesco Antonazzoni,,Ortensio,Francesco Antonazzoni,Francesco Antonazzoni.md,8B7RQ8QV38Sj,127108062748805301824,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/imEvebZ5kR6C,actor,,,,,,,,
Agent,Francesco Antonazzoni,,Ortensio,Francesco Antonazzoni,Francesco Antonazzoni.md,8B7RQ8QV38Sj,127108062748805301824,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KasacuRRNbZB,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WBaaDcSW6iHF', 'label': 'husband'}",Marina Antonazzoni,,,,,
Agent,Francesco Antonazzoni,,Ortensio,Francesco Antonazzoni,Francesco Antonazzoni.md,8B7RQ8QV38Sj,127108062748805301824,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Francesco Antonazzoni,,Ortensio,Francesco Antonazzoni,Francesco Antonazzoni.md,8B7RQ8QV38Sj,127108062748805301824,interested_in,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,
Agent,Francesco Antonazzoni,,Ortensio,Francesco Antonazzoni,Francesco Antonazzoni.md,8B7RQ8QV38Sj,127108062748805301824,catalog_identifier,,,,,,,,,,,,,,,,,,,
Agent,Francesco Antonazzoni,,Ortensio,Francesco Antonazzoni,Francesco Antonazzoni.md,8B7RQ8QV38Sj,127108062748805301824,present_in_work,,,,,,,,,,,,,,,,,,,
