class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Bartolomeo Spontone,,,Bartolomeo Spontone,Bartolomeo Spontone.md,8BDjmHVSTReY,127148218609862297298,identifier,http://www.wikidata.org/entity/Q21001517,,,,,,,,,,,,,,
Agent,Bartolomeo Spontone,,,Bartolomeo Spontone,Bartolomeo Spontone.md,8BDjmHVSTReY,127148218609862297298,described_by_source,,,,,,,,,,,,,,,
Agent,Bartolomeo Spontone,,,Bartolomeo Spontone,Bartolomeo Spontone.md,8BDjmHVSTReY,127148218609862297298,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,Bartolomeo Spontone,,,Bartolomeo Spontone,Bartolomeo Spontone.md,8BDjmHVSTReY,127148218609862297298,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,
Agent,Bartolomeo Spontone,,,Bartolomeo Spontone,Bartolomeo Spontone.md,8BDjmHVSTReY,127148218609862297298,work_location,,,,,,,,,,,,,,,
Agent,Bartolomeo Spontone,,,Bartolomeo Spontone,Bartolomeo Spontone.md,8BDjmHVSTReY,127148218609862297298,member_of,,,,,,,,,,,,,,,
Agent,Bartolomeo Spontone,,,Bartolomeo Spontone,Bartolomeo Spontone.md,8BDjmHVSTReY,127148218609862297298,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,
Agent,Bartolomeo Spontone,,,Bartolomeo Spontone,Bartolomeo Spontone.md,8BDjmHVSTReY,127148218609862297298,related_to,,,,,,,,,,,,,,,
Agent,Bartolomeo Spontone,,,Bartolomeo Spontone,Bartolomeo Spontone.md,8BDjmHVSTReY,127148218609862297298,notable_work,,,,,,,,,,,,,,,
Agent,Bartolomeo Spontone,,,Bartolomeo Spontone,Bartolomeo Spontone.md,8BDjmHVSTReY,127148218609862297298,interested_in,,,,,,,,,,,,,,,
Agent,Bartolomeo Spontone,,,Bartolomeo Spontone,Bartolomeo Spontone.md,8BDjmHVSTReY,127148218609862297298,catalog_identifier,,,,,,,,,,,,,,,
Agent,Bartolomeo Spontone,,,Bartolomeo Spontone,Bartolomeo Spontone.md,8BDjmHVSTReY,127148218609862297298,present_in_work,,,,,,,,,,,,,,,
