class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publisher,has_version_place_of_publication,has_version_publication_date,has_version_permalink,has_version_note,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,,,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,Canzonette a tre voci del signor Tomaso Pecci. Libro primo.md,8CkPQ8EToAfz,127704877308267302354,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV15960010,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,,,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,Canzonette a tre voci del signor Tomaso Pecci. Libro primo.md,8CkPQ8EToAfz,127704877308267302354,identifier,https://rism.online/sources/990048692,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,,,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,Canzonette a tre voci del signor Tomaso Pecci. Libro primo.md,8CkPQ8EToAfz,127704877308267302354,identifier,http://id.sbn.it/bid/MUS0156575,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,,,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,Canzonette a tre voci del signor Tomaso Pecci. Libro primo.md,8CkPQ8EToAfz,127704877308267302354,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,,,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,Canzonette a tre voci del signor Tomaso Pecci. Libro primo.md,8CkPQ8EToAfz,127704877308267302354,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGZbeqwxbiop,partbook,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,,,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,Canzonette a tre voci del signor Tomaso Pecci. Libro primo.md,8CkPQ8EToAfz,127704877308267302354,title,,,,,,Canzonette a tre voci del signor Tomaso Pecci gentil'huomo sanese. Novamente composte & date in luce. Libro Primo.,,,,,,,,,,,,,,,
NotatedMusic,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,,,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,Canzonette a tre voci del signor Tomaso Pecci. Libro primo.md,8CkPQ8EToAfz,127704877308267302354,inception,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,,,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,Canzonette a tre voci del signor Tomaso Pecci. Libro primo.md,8CkPQ8EToAfz,127704877308267302354,has_version,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XjfgaSYLR8Go', 'label': 'Pierre Phalèse the Younger'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jKgm7x2ZisFF', 'label': 'Antwerpen'}]",1624.0,https://libcatalog.ugent.be/permalink/32RUG_INST/klssi4/alma990012376600409161,Separate links for each partbook,https://books.google.be/books?id=xthNAAAAcAAJ,,,,,,,,
NotatedMusic,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,,,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,Canzonette a tre voci del signor Tomaso Pecci. Libro primo.md,8CkPQ8EToAfz,127704877308267302354,has_version,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/exKAVeLjzKFZ', 'label': 'Giacomo Vincenti'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",1603.0,http://id.sbn.it/bid/MUS0156575,,http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_U/U037/,,,,,,,,
NotatedMusic,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,,,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,Canzonette a tre voci del signor Tomaso Pecci. Libro primo.md,8CkPQ8EToAfz,127704877308267302354,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cGzqnqhtHMWc', 'label': 'Tommaso Pecci'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ,composer,,,,,
