class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_section,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label
PoeticWork,"A voi Donna reale, al vostro immenso",,,"A voi Donna reale, al vostro immenso","A voi Donna reale, al vostro immenso.md",8JxJRdNC7NyL,129952740648829990638,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"A voi Donna reale, al vostro immenso",,,"A voi Donna reale, al vostro immenso","A voi Donna reale, al vostro immenso.md",8JxJRdNC7NyL,129952740648829990638,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"A voi Donna reale, al vostro immenso",,,"A voi Donna reale, al vostro immenso","A voi Donna reale, al vostro immenso.md",8JxJRdNC7NyL,129952740648829990638,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"A voi Donna reale, al vostro immenso",,,"A voi Donna reale, al vostro immenso","A voi Donna reale, al vostro immenso.md",8JxJRdNC7NyL,129952740648829990638,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/drasiKYKtnDo,Giovanna d'Aragona,,,,,,,,,,,,,,,,,
PoeticWork,"A voi Donna reale, al vostro immenso",,,"A voi Donna reale, al vostro immenso","A voi Donna reale, al vostro immenso.md",8JxJRdNC7NyL,129952740648829990638,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ds7Pd3msZjeC,Annibale Caro,,,,,,,,,,,,,,,,,
PoeticWork,"A voi Donna reale, al vostro immenso",,,"A voi Donna reale, al vostro immenso","A voi Donna reale, al vostro immenso.md",8JxJRdNC7NyL,129952740648829990638,part_of,,,,,,,,52.0,Annibal Caro.,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ENq7SsHPfC3T,Del tempio alla divina signora donna Giovanna d'Aragona,,,,,,,,,,,,,
PoeticWork,"A voi Donna reale, al vostro immenso",,,"A voi Donna reale, al vostro immenso","A voi Donna reale, al vostro immenso.md",8JxJRdNC7NyL,129952740648829990638,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"A voi Donna reale, al vostro immenso",,,"A voi Donna reale, al vostro immenso","A voi Donna reale, al vostro immenso.md",8JxJRdNC7NyL,129952740648829990638,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"A voi Donna reale, al vostro immenso",,,"A voi Donna reale, al vostro immenso","A voi Donna reale, al vostro immenso.md",8JxJRdNC7NyL,129952740648829990638,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,,
PoeticWork,"A voi Donna reale, al vostro immenso",,,"A voi Donna reale, al vostro immenso","A voi Donna reale, al vostro immenso.md",8JxJRdNC7NyL,129952740648829990638,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,,
PoeticWork,"A voi Donna reale, al vostro immenso",,,"A voi Donna reale, al vostro immenso","A voi Donna reale, al vostro immenso.md",8JxJRdNC7NyL,129952740648829990638,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"A voi Donna reale, al vostro immenso",,,"A voi Donna reale, al vostro immenso","A voi Donna reale, al vostro immenso.md",8JxJRdNC7NyL,129952740648829990638,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/drasiKYKtnDo,Giovanna d'Aragona,,,
PoeticWork,"A voi Donna reale, al vostro immenso",,,"A voi Donna reale, al vostro immenso","A voi Donna reale, al vostro immenso.md",8JxJRdNC7NyL,129952740648829990638,text,,,,,,,,,,,,,,,,,,,,,,"A voi Donna reale, al vostro immenso
Valore, a l'accortezza, a l'honestate,
A quella serenissima beltate,
Ond'havete d'amore il mondo incenso,

A l'alta incontra al fato, e'ncontra al senso,
Costante, inespugnabile humiltate,
A la vostra divina humanitate
Erge quest'ara universal consenso.

A cui sacra d'intorno, e la virtute,
E la gloria de' vostri, e'l nostro merto,
Tante di vero honor, chiare facelle;

Che le rozze mie Muse, e fredde, e mute,
Ma solo offrendo, e questo picciol serto,
Lassan l'Eternità che ne favelle.",,
PoeticWork,"A voi Donna reale, al vostro immenso",,,"A voi Donna reale, al vostro immenso","A voi Donna reale, al vostro immenso.md",8JxJRdNC7NyL,129952740648829990638,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
