class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,inception_value,dissolved_value,location_value,official_website_value,catalog_identifier_value,member_value,interested_in_value,interested_in_label,notable_work_value,related_to_value,motto_value
Organisation,The Other Voice in Early Modern Europe: The Toronto Series,,,The Other Voice in Early Modern Europe,The Other Voice in Early Modern Europe.md,8Sxq7vY37Ts9,132852427005162250873,identifier,,,,,,,,,,,,,,
Organisation,The Other Voice in Early Modern Europe: The Toronto Series,,,The Other Voice in Early Modern Europe,The Other Voice in Early Modern Europe.md,8Sxq7vY37Ts9,132852427005162250873,described_by_source,,,,,,,,,,,,,,
Organisation,The Other Voice in Early Modern Europe: The Toronto Series,,,The Other Voice in Early Modern Europe,The Other Voice in Early Modern Europe.md,8Sxq7vY37Ts9,132852427005162250873,instance_of,,,,,,,,,,,,,,
Organisation,The Other Voice in Early Modern Europe: The Toronto Series,,,The Other Voice in Early Modern Europe,The Other Voice in Early Modern Europe.md,8Sxq7vY37Ts9,132852427005162250873,inception,,,,,,,,,,,,,,
Organisation,The Other Voice in Early Modern Europe: The Toronto Series,,,The Other Voice in Early Modern Europe,The Other Voice in Early Modern Europe.md,8Sxq7vY37Ts9,132852427005162250873,dissolved,,,,,,,,,,,,,,
Organisation,The Other Voice in Early Modern Europe: The Toronto Series,,,The Other Voice in Early Modern Europe,The Other Voice in Early Modern Europe.md,8Sxq7vY37Ts9,132852427005162250873,location,,,,,,,,,,,,,,
Organisation,The Other Voice in Early Modern Europe: The Toronto Series,,,The Other Voice in Early Modern Europe,The Other Voice in Early Modern Europe.md,8Sxq7vY37Ts9,132852427005162250873,official_website,,,,,,,https://press.uchicago.edu/ucp/books/series/OVIEMET.html,,,,,,,
Organisation,The Other Voice in Early Modern Europe: The Toronto Series,,,The Other Voice in Early Modern Europe,The Other Voice in Early Modern Europe.md,8Sxq7vY37Ts9,132852427005162250873,catalog_identifier,,,,,,,,,,,,,,
Organisation,The Other Voice in Early Modern Europe: The Toronto Series,,,The Other Voice in Early Modern Europe,The Other Voice in Early Modern Europe.md,8Sxq7vY37Ts9,132852427005162250873,member,,,,,,,,,,,,,,
Organisation,The Other Voice in Early Modern Europe: The Toronto Series,,,The Other Voice in Early Modern Europe,The Other Voice in Early Modern Europe.md,8Sxq7vY37Ts9,132852427005162250873,interested_in,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TNEkus8TKX7L,querelle des femmes,,,
Organisation,The Other Voice in Early Modern Europe: The Toronto Series,,,The Other Voice in Early Modern Europe,The Other Voice in Early Modern Europe.md,8Sxq7vY37Ts9,132852427005162250873,notable_work,,,,,,,,,,,,,,
Organisation,The Other Voice in Early Modern Europe: The Toronto Series,,,The Other Voice in Early Modern Europe,The Other Voice in Early Modern Europe.md,8Sxq7vY37Ts9,132852427005162250873,related_to,,,,,,,,,,,,,,
Organisation,The Other Voice in Early Modern Europe: The Toronto Series,,,The Other Voice in Early Modern Europe,The Other Voice in Early Modern Europe.md,8Sxq7vY37Ts9,132852427005162250873,motto,,,,,,,,,,,,,,
