class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Prospero Bonarelli della Rovere,Prospero Bonarelli della Rovere.md,Prospero Bonarelli della Rovere,8cXYCxHuzjv4,136312089309767934572,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,
Agent,Prospero Bonarelli della Rovere,Prospero Bonarelli della Rovere.md,Prospero Bonarelli della Rovere,8cXYCxHuzjv4,136312089309767934572,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,,
Agent,Prospero Bonarelli della Rovere,Prospero Bonarelli della Rovere.md,Prospero Bonarelli della Rovere,8cXYCxHuzjv4,136312089309767934572,work_location,,,,,,,,,,,,,,,,,,
Agent,Prospero Bonarelli della Rovere,Prospero Bonarelli della Rovere.md,Prospero Bonarelli della Rovere,8cXYCxHuzjv4,136312089309767934572,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VGeT8SCG2epE,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aKGEnQvmmxYg', 'label': '(Tostini 2017)'}]",Accademia dei Gelati di Bologna,,,,,,,,,,
Agent,Prospero Bonarelli della Rovere,Prospero Bonarelli della Rovere.md,Prospero Bonarelli della Rovere,8cXYCxHuzjv4,136312089309767934572,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nMAehWb3F4ta,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aKGEnQvmmxYg', 'label': '(Tostini 2017)'}]",Accademia degli Umoristi di Roma,,,,,,,,,,
Agent,Prospero Bonarelli della Rovere,Prospero Bonarelli della Rovere.md,Prospero Bonarelli della Rovere,8cXYCxHuzjv4,136312089309767934572,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,,,
Agent,Prospero Bonarelli della Rovere,Prospero Bonarelli della Rovere.md,Prospero Bonarelli della Rovere,8cXYCxHuzjv4,136312089309767934572,related_to,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YAu4Ri49muDH,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mY2q8YffL5yG', 'label': 'sibling'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aKGEnQvmmxYg', 'label': '(Tostini 2017)'}]",Guidubaldo Bonarelli della Rovere,,,,
Agent,Prospero Bonarelli della Rovere,Prospero Bonarelli della Rovere.md,Prospero Bonarelli della Rovere,8cXYCxHuzjv4,136312089309767934572,notable_work,,,,,,,,,,,,,,,,,,
Agent,Prospero Bonarelli della Rovere,Prospero Bonarelli della Rovere.md,Prospero Bonarelli della Rovere,8cXYCxHuzjv4,136312089309767934572,interested_in,,,,,,,,,,,,,,,,,,
Agent,Prospero Bonarelli della Rovere,Prospero Bonarelli della Rovere.md,Prospero Bonarelli della Rovere,8cXYCxHuzjv4,136312089309767934572,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",5111.0
