class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_start_date,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,interested_in_label,interested_in_reference,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,8cwGVT3ZREMt,136462773760202757743,identifier,http://www.wikidata.org/entity/Q6499496,,,,,,,,,,,,,,,,,,,,,,,,,
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,8cwGVT3ZREMt,136462773760202757743,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx,(Cox 2020),,,,,,,,,,,,,,,,,,,,,,,
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,8cwGVT3ZREMt,136462773760202757743,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LnJe2SznsdSA,(Di Maro 2021),,,,,,,,,,,,,,,,,,,,,,,
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,8cwGVT3ZREMt,136462773760202757743,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,,,,,,
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,8cwGVT3ZREMt,136462773760202757743,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,,,,,,,,,
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,8cwGVT3ZREMt,136462773760202757743,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bpRYamR8DUKq,Napoli,,,,,,,,,,,,,,,,,
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,8cwGVT3ZREMt,136462773760202757743,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/57j7cp5yPDfE,1550.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx', 'label': '(Cox 2020)'}]",Accademia degli Incogniti di Napoli,,,,,,,,,,,,,
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,8cwGVT3ZREMt,136462773760202757743,occupation,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,,,,,,
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,8cwGVT3ZREMt,136462773760202757743,related_to,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FqBWCu5YvZzH,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nEyUNwKcZNxU', 'label': 'friend'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LnJe2SznsdSA', 'label': '(Di Maro 2021)'}]",Dianora Sanseverino,,,,,,,
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,8cwGVT3ZREMt,136462773760202757743,notable_work,,,,,,,,,,,,,,,,,,,,,,,,,,
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,8cwGVT3ZREMt,136462773760202757743,interested_in,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TNEkus8TKX7L,querelle des femmes,,,,
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,8cwGVT3ZREMt,136462773760202757743,interested_in,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FSsfkMyDLbzE,Orlando furioso,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LnJe2SznsdSA', 'label': '(Di Maro 2021)'}]",,,
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,8cwGVT3ZREMt,136462773760202757743,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",16062.0,
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,8cwGVT3ZREMt,136462773760202757743,present_in_work,,,,,,,,,,,,,,,,,,,,,,,,,,
