class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Michael Maier,,,Michael Maier,Michael Maier.md,9PZmwTEUKers,152255790460743395584,identifier,http://www.wikidata.org/entity/Q901303,,,,,,,,,,,,,,,,
Agent,Michael Maier,,,Michael Maier,Michael Maier.md,9PZmwTEUKers,152255790460743395584,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cNtQcyDjLamc,(Forshaw 2010),,,,,,,,,,,,,,
Agent,Michael Maier,,,Michael Maier,Michael Maier.md,9PZmwTEUKers,152255790460743395584,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Michael Maier,,,Michael Maier,Michael Maier.md,9PZmwTEUKers,152255790460743395584,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,Michael Maier,,,Michael Maier,Michael Maier.md,9PZmwTEUKers,152255790460743395584,work_location,,,,,,,,,,,,,,,,,
Agent,Michael Maier,,,Michael Maier,Michael Maier.md,9PZmwTEUKers,152255790460743395584,member_of,,,,,,,,,,,,,,,,,
Agent,Michael Maier,,,Michael Maier,Michael Maier.md,9PZmwTEUKers,152255790460743395584,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ,composer,,,,,,
Agent,Michael Maier,,,Michael Maier,Michael Maier.md,9PZmwTEUKers,152255790460743395584,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2j8TDeS5UmB4,alchemist,,,,,,
Agent,Michael Maier,,,Michael Maier,Michael Maier.md,9PZmwTEUKers,152255790460743395584,related_to,,,,,,,,,,,,,,,,,
Agent,Michael Maier,,,Michael Maier,Michael Maier.md,9PZmwTEUKers,152255790460743395584,notable_work,,,,,,,,,,,,,,,,,
Agent,Michael Maier,,,Michael Maier,Michael Maier.md,9PZmwTEUKers,152255790460743395584,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vc5QHZPT7X9M,hermeticism,,
Agent,Michael Maier,,,Michael Maier,Michael Maier.md,9PZmwTEUKers,152255790460743395584,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jpEmjHi9Ym4c,alchemy,,
Agent,Michael Maier,,,Michael Maier,Michael Maier.md,9PZmwTEUKers,152255790460743395584,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NsJUHD4xnxwp,emblem,,
Agent,Michael Maier,,,Michael Maier,Michael Maier.md,9PZmwTEUKers,152255790460743395584,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Michael Maier,,,Michael Maier,Michael Maier.md,9PZmwTEUKers,152255790460743395584,present_in_work,,,,,,,,,,,,,,,,,
