class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value
MusicComposition,Eran le vostre lagrime nel viso (Trombetti),,,Eran le vostre lagrime nel viso (Trombetti),Eran le vostre lagrime nel viso (Trombetti).md,9TJNJDt7zz9F,153606016197919021354,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F097090001010101_000000243200C,,,,,,,,,,,,,,
MusicComposition,Eran le vostre lagrime nel viso (Trombetti),,,Eran le vostre lagrime nel viso (Trombetti),Eran le vostre lagrime nel viso (Trombetti).md,9TJNJDt7zz9F,153606016197919021354,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,
MusicComposition,Eran le vostre lagrime nel viso (Trombetti),,,Eran le vostre lagrime nel viso (Trombetti),Eran le vostre lagrime nel viso (Trombetti).md,9TJNJDt7zz9F,153606016197919021354,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KMtT3sEksj7N,madrigal,,,,,,,,,,
MusicComposition,Eran le vostre lagrime nel viso (Trombetti),,,Eran le vostre lagrime nel viso (Trombetti),Eran le vostre lagrime nel viso (Trombetti).md,9TJNJDt7zz9F,153606016197919021354,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oVgX4nooPy2A,Tarquinia Molza,,,,,,,
MusicComposition,Eran le vostre lagrime nel viso (Trombetti),,,Eran le vostre lagrime nel viso (Trombetti),Eran le vostre lagrime nel viso (Trombetti).md,9TJNJDt7zz9F,153606016197919021354,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CPwjvrJWn9aR,Ascanio Trombetti,,,,,,,
MusicComposition,Eran le vostre lagrime nel viso (Trombetti),,,Eran le vostre lagrime nel viso (Trombetti),Eran le vostre lagrime nel viso (Trombetti).md,9TJNJDt7zz9F,153606016197919021354,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GSYCto24v9Cj,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,,,,,
MusicComposition,Eran le vostre lagrime nel viso (Trombetti),,,Eran le vostre lagrime nel viso (Trombetti),Eran le vostre lagrime nel viso (Trombetti).md,9TJNJDt7zz9F,153606016197919021354,instrumentation,,,,,,,,,,,,,,,
MusicComposition,Eran le vostre lagrime nel viso (Trombetti),,,Eran le vostre lagrime nel viso (Trombetti),Eran le vostre lagrime nel viso (Trombetti).md,9TJNJDt7zz9F,153606016197919021354,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/L64jM586iCSB,Eran le vostre lagrime nel viso,,
MusicComposition,Eran le vostre lagrime nel viso (Trombetti),,,Eran le vostre lagrime nel viso (Trombetti),Eran le vostre lagrime nel viso (Trombetti).md,9TJNJDt7zz9F,153606016197919021354,derivative_work,,,,,,,,,,,,,,,
MusicComposition,Eran le vostre lagrime nel viso (Trombetti),,,Eran le vostre lagrime nel viso (Trombetti),Eran le vostre lagrime nel viso (Trombetti).md,9TJNJDt7zz9F,153606016197919021354,text,,,,,,,,,,,,,,,
