class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value,identifier_value
PoeticWork,Monti selve fontane piagg'e sassi,Monti selve fontane piagg'e sassi.md,Monti selve fontane piagg'e sassi,AFLjqnuuAfek,169912620784372614684,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Monti selve fontane piagg'e sassi,Monti selve fontane piagg'e sassi.md,Monti selve fontane piagg'e sassi,AFLjqnuuAfek,169912620784372614684,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QUHAq7K8fEy9,Jacopo Sannazaro,,,,,,,,,,,,,,,,,
PoeticWork,Monti selve fontane piagg'e sassi,Monti selve fontane piagg'e sassi.md,Monti selve fontane piagg'e sassi,AFLjqnuuAfek,169912620784372614684,part_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZYzyG5Kmbf7X,Egloga IV,Arcadia del Sannazaro,,,,,,,,,,,,,,
PoeticWork,Monti selve fontane piagg'e sassi,Monti selve fontane piagg'e sassi.md,Monti selve fontane piagg'e sassi,AFLjqnuuAfek,169912620784372614684,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Monti selve fontane piagg'e sassi,Monti selve fontane piagg'e sassi.md,Monti selve fontane piagg'e sassi,AFLjqnuuAfek,169912620784372614684,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Monti selve fontane piagg'e sassi,Monti selve fontane piagg'e sassi.md,Monti selve fontane piagg'e sassi,AFLjqnuuAfek,169912620784372614684,subject,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3ruLTSyv8VeY,pastoral,,,,,,,,,,
PoeticWork,Monti selve fontane piagg'e sassi,Monti selve fontane piagg'e sassi.md,Monti selve fontane piagg'e sassi,AFLjqnuuAfek,169912620784372614684,poetic_type,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/X5mzWGfcQaQ3,eclogue,,,,,,,,
PoeticWork,Monti selve fontane piagg'e sassi,Monti selve fontane piagg'e sassi.md,Monti selve fontane piagg'e sassi,AFLjqnuuAfek,169912620784372614684,metre,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,,
PoeticWork,Monti selve fontane piagg'e sassi,Monti selve fontane piagg'e sassi.md,Monti selve fontane piagg'e sassi,AFLjqnuuAfek,169912620784372614684,metre,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,,
PoeticWork,Monti selve fontane piagg'e sassi,Monti selve fontane piagg'e sassi.md,Monti selve fontane piagg'e sassi,AFLjqnuuAfek,169912620784372614684,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EhFuVpKyjLFt,travel,,,,
PoeticWork,Monti selve fontane piagg'e sassi,Monti selve fontane piagg'e sassi.md,Monti selve fontane piagg'e sassi,AFLjqnuuAfek,169912620784372614684,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Suq86ApyHSzQ,weeping,,,,
PoeticWork,Monti selve fontane piagg'e sassi,Monti selve fontane piagg'e sassi.md,Monti selve fontane piagg'e sassi,AFLjqnuuAfek,169912620784372614684,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ACTN7uuqiNiD,torment,,,,
PoeticWork,Monti selve fontane piagg'e sassi,Monti selve fontane piagg'e sassi.md,Monti selve fontane piagg'e sassi,AFLjqnuuAfek,169912620784372614684,language,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,,
PoeticWork,Monti selve fontane piagg'e sassi,Monti selve fontane piagg'e sassi.md,Monti selve fontane piagg'e sassi,AFLjqnuuAfek,169912620784372614684,text,,,,,,,,,,,,,,,,,,,,,"Monti selve fontane piagg'e sassi
Vo cercand’io, se pur potessi un giorno
In parte rallentar l’acerbo pianto;
Ma ben veggio or che solo in una valle
Trovo riposo alle mie stanche rime,
Che mormorando van per mille campi.",
PoeticWork,Monti selve fontane piagg'e sassi,Monti selve fontane piagg'e sassi.md,Monti selve fontane piagg'e sassi,AFLjqnuuAfek,169912620784372614684,identifier,,,,,,,,,,,,,,,,,,,,,,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F025800000101_PPPP00260406C
