class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_place_of_publication,has_version_publication_date,has_version_permalink,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value,based_on_label
Book,Ascanio errante,,,Ascanio errante,Ascanio errante.md,AbDZnrEnp7Un,177107707137211991240,identifier,http://id.sbn.it/bid/CFIE004827,,,,,,,,,,,,,,,,,,
Book,Ascanio errante,,,Ascanio errante,Ascanio errante.md,AbDZnrEnp7Un,177107707137211991240,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hL5fpx5U8GsZ,OPAC SBN,,,,,,,,,,,,,,,,
Book,Ascanio errante,,,Ascanio errante,Ascanio errante.md,AbDZnrEnp7Un,177107707137211991240,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrKoHGLhLE34,chivalric poem,,,,,,,,,,,,,,
Book,Ascanio errante,,,Ascanio errante,Ascanio errante.md,AbDZnrEnp7Un,177107707137211991240,title,,,,,,Ascanio errante poema della Barbera Tigliamochi degl'Albizi gentildonna fiorentina,,,,,,,,,,,,,
Book,Ascanio errante,,,Ascanio errante,Ascanio errante.md,AbDZnrEnp7Un,177107707137211991240,inception,,,,,,,1640.0,,,,,,,,,,,,
Book,Ascanio errante,,,Ascanio errante,Ascanio errante.md,AbDZnrEnp7Un,177107707137211991240,has_version,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GvYVBMCkzMzW', 'label': 'Firenze'}]",1640.0,http://id.sbn.it/bid/CFIE004827,https://www.google.be/books/edition/_/ezPNQ5j0YUcC,,,,,,,,
Book,Ascanio errante,,,Ascanio errante,Ascanio errante.md,AbDZnrEnp7Un,177107707137211991240,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/X4biz7FmNDEb,Vittoria della Rovere,,,,,
Book,Ascanio errante,,,Ascanio errante,Ascanio errante.md,AbDZnrEnp7Un,177107707137211991240,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NqoZxCbzEnSz,Barbara degli Albizzi Tagliamochi,,,,,
Book,Ascanio errante,,,Ascanio errante,Ascanio errante.md,AbDZnrEnp7Un,177107707137211991240,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8GvHmwR26GRn,chivalry,,,
Book,Ascanio errante,,,Ascanio errante,Ascanio errante.md,AbDZnrEnp7Un,177107707137211991240,has_part,,,,,,,,,,,,,,,,,,,
Book,Ascanio errante,,,Ascanio errante,Ascanio errante.md,AbDZnrEnp7Un,177107707137211991240,based_on,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XU8S5WyvBShC,Orlando furioso
