class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_value,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,metre_value,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Urnula quam gemmis auroque; nitere videmus,"Praise to the Eucharistic urn, and its hidden content. But also it can be interpret as the urn of aleatoric outcome?",,Urnula quam gemmis auroque; nitere videmus,Urnula quam gemmis auroque; nitere videmus.md,BTj76mwmf3sf,195034908736451448067,identifier,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Urnula quam gemmis auroque; nitere videmus,"Praise to the Eucharistic urn, and its hidden content. But also it can be interpret as the urn of aleatoric outcome?",,Urnula quam gemmis auroque; nitere videmus,Urnula quam gemmis auroque; nitere videmus.md,BTj76mwmf3sf,195034908736451448067,described_by_source,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Urnula quam gemmis auroque; nitere videmus,"Praise to the Eucharistic urn, and its hidden content. But also it can be interpret as the urn of aleatoric outcome?",,Urnula quam gemmis auroque; nitere videmus,Urnula quam gemmis auroque; nitere videmus.md,BTj76mwmf3sf,195034908736451448067,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,
PoeticWork,Urnula quam gemmis auroque; nitere videmus,"Praise to the Eucharistic urn, and its hidden content. But also it can be interpret as the urn of aleatoric outcome?",,Urnula quam gemmis auroque; nitere videmus,Urnula quam gemmis auroque; nitere videmus.md,BTj76mwmf3sf,195034908736451448067,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eY9VyUGp6KLy,Teofilo Folengo,,,,,,,,,,,,,,,
PoeticWork,Urnula quam gemmis auroque; nitere videmus,"Praise to the Eucharistic urn, and its hidden content. But also it can be interpret as the urn of aleatoric outcome?",,Urnula quam gemmis auroque; nitere videmus,Urnula quam gemmis auroque; nitere videmus.md,BTj76mwmf3sf,195034908736451448067,part_of,,,,,,,,Finisce lo Chaos del Tri Per Uno. De aurea urna qua includitur Eucharistia,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4Z4eXm9TQs4C,110.0,Chaos del tri per uno,,,,,,,,,,,
PoeticWork,Urnula quam gemmis auroque; nitere videmus,"Praise to the Eucharistic urn, and its hidden content. But also it can be interpret as the urn of aleatoric outcome?",,Urnula quam gemmis auroque; nitere videmus,Urnula quam gemmis auroque; nitere videmus.md,BTj76mwmf3sf,195034908736451448067,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Urnula quam gemmis auroque; nitere videmus,"Praise to the Eucharistic urn, and its hidden content. But also it can be interpret as the urn of aleatoric outcome?",,Urnula quam gemmis auroque; nitere videmus,Urnula quam gemmis auroque; nitere videmus.md,BTj76mwmf3sf,195034908736451448067,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Urnula quam gemmis auroque; nitere videmus,"Praise to the Eucharistic urn, and its hidden content. But also it can be interpret as the urn of aleatoric outcome?",,Urnula quam gemmis auroque; nitere videmus,Urnula quam gemmis auroque; nitere videmus.md,BTj76mwmf3sf,195034908736451448067,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kiy25fDKSzMY,devotion,,,,,,,
PoeticWork,Urnula quam gemmis auroque; nitere videmus,"Praise to the Eucharistic urn, and its hidden content. But also it can be interpret as the urn of aleatoric outcome?",,Urnula quam gemmis auroque; nitere videmus,Urnula quam gemmis auroque; nitere videmus.md,BTj76mwmf3sf,195034908736451448067,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RmaA75A9H4A7,ars combinatoria,,,,,,,
PoeticWork,Urnula quam gemmis auroque; nitere videmus,"Praise to the Eucharistic urn, and its hidden content. But also it can be interpret as the urn of aleatoric outcome?",,Urnula quam gemmis auroque; nitere videmus,Urnula quam gemmis auroque; nitere videmus.md,BTj76mwmf3sf,195034908736451448067,poetic_type,,,,,,,,,,,,,,,,,,,,,,
