class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_place_of_publication,has_version_external_source,has_version_permalink,has_version_note,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,instrumentation_value,instrumentation_quantity,instrumentation_label
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,BrKoYYaFmdxy,203213747807845226947,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV51830010,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,BrKoYYaFmdxy,203213747807845226947,identifier,https://edit16.iccu.sbn.it/titolo/CNCE036469,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,BrKoYYaFmdxy,203213747807845226947,identifier,https://rism.online/sources/993120641,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,BrKoYYaFmdxy,203213747807845226947,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,BrKoYYaFmdxy,203213747807845226947,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGZbeqwxbiop,partbook,,,,,,,,,,,,,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,BrKoYYaFmdxy,203213747807845226947,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gFBshLVTMG7b,incomplete,,,,,,,,,,,,,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,BrKoYYaFmdxy,203213747807845226947,title,,,,,,"Aeri racolti insieme con altri bellissimi aggionti di diversi doue si cantano sonetti, stanze & terze rime, novamente ristampati",,,,,,,,,,,,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,BrKoYYaFmdxy,203213747807845226947,inception,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,BrKoYYaFmdxy,203213747807845226947,has_version,,,,,,,,1577.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bpRYamR8DUKq', 'label': 'Napoli'}]",http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_R/R229/,https://edit16.iccu.sbn.it/titolo/CNCE036469,Tenor part is missing,,,,,,,,,
NotatedMusic,Aeri racolti insieme,,,Aeri racolti insieme,Aeri racolti insieme.md,BrKoYYaFmdxy,203213747807845226947,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9dp4sDNQ5hUh,Francesco Menta,,,,,,
