class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_start_date,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,identifier_value
Agent,['Gasparo Murtola'],Gaspare Murtola,Gaspare Murtola.md,Gaspare Murtola,CGXVU36q9thw,211614717419308282715,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,['Gasparo Murtola'],Gaspare Murtola,Gaspare Murtola.md,Gaspare Murtola,CGXVU36q9thw,211614717419308282715,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,['Gasparo Murtola'],Gaspare Murtola,Gaspare Murtola.md,Gaspare Murtola,CGXVU36q9thw,211614717419308282715,work_location,,,,,,,,,,,,,,,,
Agent,['Gasparo Murtola'],Gaspare Murtola,Gaspare Murtola.md,Gaspare Murtola,CGXVU36q9thw,211614717419308282715,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bC9ap7cjMHkW,1613.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eFqHfpSQSasp', 'label': '(Terzaghi 2017)'}]",Accademia degli Ordinati di Roma,,,,,,,
Agent,['Gasparo Murtola'],Gaspare Murtola,Gaspare Murtola.md,Gaspare Murtola,CGXVU36q9thw,211614717419308282715,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UJz77hnWWSNh,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eqXqmD8qjEdV', 'label': '(Moralejo Ortega 2017)'}]",Accademia degli Insensati di Perugia,,,,,,,
Agent,['Gasparo Murtola'],Gaspare Murtola,Gaspare Murtola.md,Gaspare Murtola,CGXVU36q9thw,211614717419308282715,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,
Agent,['Gasparo Murtola'],Gaspare Murtola,Gaspare Murtola.md,Gaspare Murtola,CGXVU36q9thw,211614717419308282715,related_to,,,,,,,,,,,,,,,,
Agent,['Gasparo Murtola'],Gaspare Murtola,Gaspare Murtola.md,Gaspare Murtola,CGXVU36q9thw,211614717419308282715,notable_work,,,,,,,,,,,,,,,,
Agent,['Gasparo Murtola'],Gaspare Murtola,Gaspare Murtola.md,Gaspare Murtola,CGXVU36q9thw,211614717419308282715,interested_in,,,,,,,,,,,,,,,,
Agent,['Gasparo Murtola'],Gaspare Murtola,Gaspare Murtola.md,Gaspare Murtola,CGXVU36q9thw,211614717419308282715,catalog_identifier,,,,,,,,,,,,,,,,
Agent,['Gasparo Murtola'],Gaspare Murtola,Gaspare Murtola.md,Gaspare Murtola,CGXVU36q9thw,211614717419308282715,identifier,,,,,,,,,,,,,,,,https://lyra.unil.ch/agents/1303
