class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Ascanio Trombetti,,,Ascanio Trombetti,Ascanio Trombetti.md,CPwjvrJWn9aR,214302998280929603231,identifier,http://www.wikidata.org/entity/Q2866349,,,,,,,,,,,,,,
Agent,Ascanio Trombetti,,,Ascanio Trombetti,Ascanio Trombetti.md,CPwjvrJWn9aR,214302998280929603231,described_by_source,,,,,,,,,,,,,,,
Agent,Ascanio Trombetti,,,Ascanio Trombetti,Ascanio Trombetti.md,CPwjvrJWn9aR,214302998280929603231,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,
Agent,Ascanio Trombetti,,,Ascanio Trombetti,Ascanio Trombetti.md,CPwjvrJWn9aR,214302998280929603231,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,
Agent,Ascanio Trombetti,,,Ascanio Trombetti,Ascanio Trombetti.md,CPwjvrJWn9aR,214302998280929603231,work_location,,,,,,,,,,,,,,,
Agent,Ascanio Trombetti,,,Ascanio Trombetti,Ascanio Trombetti.md,CPwjvrJWn9aR,214302998280929603231,member_of,,,,,,,,,,,,,,,
Agent,Ascanio Trombetti,,,Ascanio Trombetti,Ascanio Trombetti.md,CPwjvrJWn9aR,214302998280929603231,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ,composer,,,,,
Agent,Ascanio Trombetti,,,Ascanio Trombetti,Ascanio Trombetti.md,CPwjvrJWn9aR,214302998280929603231,related_to,,,,,,,,,,,,,,,
Agent,Ascanio Trombetti,,,Ascanio Trombetti,Ascanio Trombetti.md,CPwjvrJWn9aR,214302998280929603231,notable_work,,,,,,,,,,,,,,,
Agent,Ascanio Trombetti,,,Ascanio Trombetti,Ascanio Trombetti.md,CPwjvrJWn9aR,214302998280929603231,interested_in,,,,,,,,,,,,,,,
Agent,Ascanio Trombetti,,,Ascanio Trombetti,Ascanio Trombetti.md,CPwjvrJWn9aR,214302998280929603231,catalog_identifier,,,,,,,,,,,,,,,
Agent,Ascanio Trombetti,,,Ascanio Trombetti,Ascanio Trombetti.md,CPwjvrJWn9aR,214302998280929603231,present_in_work,,,,,,,,,,,,,,,
