class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,text_value,language_value,language_label
PoeticWork,Questa d'odiar la morte antica usanza,,,Questa d'odiar la morte antica usanza,Questa d'odiar la morte antica usanza.md,CpLwPf5WkMx6,223132806561893250847,identifier,https://versologie.cz/poetree/browser/poem?corpus=it&id_poem=15092,,,,,,,,,,,,,,,,,,,,
PoeticWork,Questa d'odiar la morte antica usanza,,,Questa d'odiar la morte antica usanza,Questa d'odiar la morte antica usanza.md,CpLwPf5WkMx6,223132806561893250847,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7VwEEvbhjKZB,(Moroncini 2017),,,,,,,,,,,,,,,,,,
PoeticWork,Questa d'odiar la morte antica usanza,,,Questa d'odiar la morte antica usanza,Questa d'odiar la morte antica usanza.md,CpLwPf5WkMx6,223132806561893250847,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,
PoeticWork,Questa d'odiar la morte antica usanza,,,Questa d'odiar la morte antica usanza,Questa d'odiar la morte antica usanza.md,CpLwPf5WkMx6,223132806561893250847,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dnKqeJdTP2sv,Vittoria Colonna,,,,,,,,,,,,,
PoeticWork,Questa d'odiar la morte antica usanza,,,Questa d'odiar la morte antica usanza,Questa d'odiar la morte antica usanza.md,CpLwPf5WkMx6,223132806561893250847,part_of,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Questa d'odiar la morte antica usanza,,,Questa d'odiar la morte antica usanza,Questa d'odiar la morte antica usanza.md,CpLwPf5WkMx6,223132806561893250847,based_on,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Questa d'odiar la morte antica usanza,,,Questa d'odiar la morte antica usanza,Questa d'odiar la morte antica usanza.md,CpLwPf5WkMx6,223132806561893250847,derivative_work,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Questa d'odiar la morte antica usanza,,,Questa d'odiar la morte antica usanza,Questa d'odiar la morte antica usanza.md,CpLwPf5WkMx6,223132806561893250847,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrTwYNz6rjM4,heterodoxy,,,,,,,,
PoeticWork,Questa d'odiar la morte antica usanza,,,Questa d'odiar la morte antica usanza,Questa d'odiar la morte antica usanza.md,CpLwPf5WkMx6,223132806561893250847,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/e4z5crPAxqJa,religion,,,,,,,,
PoeticWork,Questa d'odiar la morte antica usanza,,,Questa d'odiar la morte antica usanza,Questa d'odiar la morte antica usanza.md,CpLwPf5WkMx6,223132806561893250847,poetic_type,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,,
PoeticWork,Questa d'odiar la morte antica usanza,,,Questa d'odiar la morte antica usanza,Questa d'odiar la morte antica usanza.md,CpLwPf5WkMx6,223132806561893250847,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,
PoeticWork,Questa d'odiar la morte antica usanza,,,Questa d'odiar la morte antica usanza,Questa d'odiar la morte antica usanza.md,CpLwPf5WkMx6,223132806561893250847,depicts,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Questa d'odiar la morte antica usanza,,,Questa d'odiar la morte antica usanza,Questa d'odiar la morte antica usanza.md,CpLwPf5WkMx6,223132806561893250847,text,,,,,,,,,,,,,,,,,,,"Questa d'odiar la morte antica usanza
Nasce sovente in noi, ciechi mortali,
Dal non aver sugli omer le grandi ali
Ferme de la divina alta speranza,

Né 'n quella pietra, ch'ogni stima avanza
Di sodezza, ma solo in questi frali
Fondamenti di rena, a tutti i mali
Exposti, edificar la nostra stanza;

Onde con fede ancor per grazia spera
L'alma in Dio forte aver per segno caro
Quella ch'ai più superbi è più nimica,

E non che sia col braccio empio ed avaro
De le mie spoglie lieta, anzi io sia altera
D'usare in gloria mia la sua fatica.",,
PoeticWork,Questa d'odiar la morte antica usanza,,,Questa d'odiar la morte antica usanza,Questa d'odiar la morte antica usanza.md,CpLwPf5WkMx6,223132806561893250847,language,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian
