class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_role,member_of_reference,member_of_label,occupation_value,occupation_reference,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Maurizio di Savoia,,['Maurice of Savoy'],Maurizio di Savoia,Maurizio di Savoia.md,Cz5znbGcax89,226658247066739500613,identifier,http://www.wikidata.org/entity/Q610738,,,,,,,,,,,,,,,,,,,
Agent,Maurizio di Savoia,,['Maurice of Savoy'],Maurizio di Savoia,Maurizio di Savoia.md,Cz5znbGcax89,226658247066739500613,described_by_source,,,,,,,,,,,,,,,,,,,,
Agent,Maurizio di Savoia,,['Maurice of Savoy'],Maurizio di Savoia,Maurizio di Savoia.md,Cz5znbGcax89,226658247066739500613,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,
Agent,Maurizio di Savoia,,['Maurice of Savoy'],Maurizio di Savoia,Maurizio di Savoia.md,Cz5znbGcax89,226658247066739500613,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,
Agent,Maurizio di Savoia,,['Maurice of Savoy'],Maurizio di Savoia,Maurizio di Savoia.md,Cz5znbGcax89,226658247066739500613,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG,Roma,,,,,,,,,,,,
Agent,Maurizio di Savoia,,['Maurice of Savoy'],Maurizio di Savoia,Maurizio di Savoia.md,Cz5znbGcax89,226658247066739500613,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bC9ap7cjMHkW,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cA2ZGRKmQjw9', 'label': 'literary host'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eFqHfpSQSasp', 'label': '(Terzaghi 2017)'}]",Accademia degli Ordinati di Roma,,,,,,,,
Agent,Maurizio di Savoia,,['Maurice of Savoy'],Maurizio di Savoia,Maurizio di Savoia.md,Cz5znbGcax89,226658247066739500613,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cA2ZGRKmQjw9,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eFqHfpSQSasp', 'label': '(Terzaghi 2017)'}]",literary host,,,,,
Agent,Maurizio di Savoia,,['Maurice of Savoy'],Maurizio di Savoia,Maurizio di Savoia.md,Cz5znbGcax89,226658247066739500613,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AwveTDUETzJD,,cardinal,,,,,
Agent,Maurizio di Savoia,,['Maurice of Savoy'],Maurizio di Savoia,Maurizio di Savoia.md,Cz5znbGcax89,226658247066739500613,related_to,,,,,,,,,,,,,,,,,,,,
Agent,Maurizio di Savoia,,['Maurice of Savoy'],Maurizio di Savoia,Maurizio di Savoia.md,Cz5znbGcax89,226658247066739500613,notable_work,,,,,,,,,,,,,,,,,,,,
Agent,Maurizio di Savoia,,['Maurice of Savoy'],Maurizio di Savoia,Maurizio di Savoia.md,Cz5znbGcax89,226658247066739500613,interested_in,,,,,,,,,,,,,,,,,,,,
Agent,Maurizio di Savoia,,['Maurice of Savoy'],Maurizio di Savoia,Maurizio di Savoia.md,Cz5znbGcax89,226658247066739500613,catalog_identifier,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",18394.0
