class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_value,contributor_role,contributor_label,part_of_value,part_of_section,part_of_label,part_of_pages,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,text_value,language_value,language_label
PoeticWork,"S'odono e varie lingue, e personaggi",,,"S'odono e varie lingue, e personaggi","S'odono e varie lingue, e personaggi.md",DiQzp4Cq847j,241622294277954936368,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"S'odono e varie lingue, e personaggi",,,"S'odono e varie lingue, e personaggi","S'odono e varie lingue, e personaggi.md",DiQzp4Cq847j,241622294277954936368,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HY889E59KdVv,(Perrucci [1699] 2008),,,,,,,,,,,,,,,,,,,,,
PoeticWork,"S'odono e varie lingue, e personaggi",,,"S'odono e varie lingue, e personaggi","S'odono e varie lingue, e personaggi.md",DiQzp4Cq847j,241622294277954936368,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,"S'odono e varie lingue, e personaggi",,,"S'odono e varie lingue, e personaggi","S'odono e varie lingue, e personaggi.md",DiQzp4Cq847j,241622294277954936368,contributor,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wyd2YHjqWKjo,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",Giulio Strozzi,,,,,,,,,,,,,,,,
PoeticWork,"S'odono e varie lingue, e personaggi",,,"S'odono e varie lingue, e personaggi","S'odono e varie lingue, e personaggi.md",DiQzp4Cq847j,241622294277954936368,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hy9k3w5DkZPh,"Parte II, Regola I","Dell'arte rappresentativa premeditata, ed all'improviso",,,,,,,,,,,,,
PoeticWork,"S'odono e varie lingue, e personaggi",,,"S'odono e varie lingue, e personaggi","S'odono e varie lingue, e personaggi.md",DiQzp4Cq847j,241622294277954936368,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RBjLHYzDaM5j,"Canto XII, 89",La Venetia edificata,399.0,,,,,,,,,,,,
PoeticWork,"S'odono e varie lingue, e personaggi",,,"S'odono e varie lingue, e personaggi","S'odono e varie lingue, e personaggi.md",DiQzp4Cq847j,241622294277954936368,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"S'odono e varie lingue, e personaggi",,,"S'odono e varie lingue, e personaggi","S'odono e varie lingue, e personaggi.md",DiQzp4Cq847j,241622294277954936368,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"S'odono e varie lingue, e personaggi",,,"S'odono e varie lingue, e personaggi","S'odono e varie lingue, e personaggi.md",DiQzp4Cq847j,241622294277954936368,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Y6dvnErBpngV,improvisational theater,,,,,,,,
PoeticWork,"S'odono e varie lingue, e personaggi",,,"S'odono e varie lingue, e personaggi","S'odono e varie lingue, e personaggi.md",DiQzp4Cq847j,241622294277954936368,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,,,,,,,
PoeticWork,"S'odono e varie lingue, e personaggi",,,"S'odono e varie lingue, e personaggi","S'odono e varie lingue, e personaggi.md",DiQzp4Cq847j,241622294277954936368,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nkvGUfVFSUHZ,ottava rima,,,,,,
PoeticWork,"S'odono e varie lingue, e personaggi",,,"S'odono e varie lingue, e personaggi","S'odono e varie lingue, e personaggi.md",DiQzp4Cq847j,241622294277954936368,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,
PoeticWork,"S'odono e varie lingue, e personaggi",,,"S'odono e varie lingue, e personaggi","S'odono e varie lingue, e personaggi.md",DiQzp4Cq847j,241622294277954936368,depicts,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"S'odono e varie lingue, e personaggi",,,"S'odono e varie lingue, e personaggi","S'odono e varie lingue, e personaggi.md",DiQzp4Cq847j,241622294277954936368,text,,,,,,,,,,,,,,,,,,,,,,"S'odono e varie lingue, e personaggi
Atti meglio a destar la burla, e'l riso,
Hor con brutte cadute, hor con visaggi,
Hor con mentito adulterato viso.
E (quel, ch'anco è difficile a' più saggi)
Pronto usciva il discorso, ed improviso;
E regolava il subito concetto
La norma di strettissimo soggetto.",,
PoeticWork,"S'odono e varie lingue, e personaggi",,,"S'odono e varie lingue, e personaggi","S'odono e varie lingue, e personaggi.md",DiQzp4Cq847j,241622294277954936368,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
