class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_start_date,member_of_reference,member_of_label,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Domicilla Silvi,,,Domicilla Silvi,Domicilla Silvi.md,Dn2VHsQgysW8,242927405012453064912,identifier,,,,,,,,,,,,,,,,,,,
Agent,Domicilla Silvi,,,Domicilla Silvi,Domicilla Silvi.md,Dn2VHsQgysW8,242927405012453064912,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iQ4o46B3wUmP,Italian Women Writers,,,,,,,,,,,,,,,,
Agent,Domicilla Silvi,,,Domicilla Silvi,Domicilla Silvi.md,Dn2VHsQgysW8,242927405012453064912,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV,(Cox 2020),,,,,,,,,,,,,,,,
Agent,Domicilla Silvi,,,Domicilla Silvi,Domicilla Silvi.md,Dn2VHsQgysW8,242927405012453064912,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Domicilla Silvi,,,Domicilla Silvi,Domicilla Silvi.md,Dn2VHsQgysW8,242927405012453064912,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,
Agent,Domicilla Silvi,,,Domicilla Silvi,Domicilla Silvi.md,Dn2VHsQgysW8,242927405012453064912,work_location,,,,,,,,,,,,,,,,,,,
Agent,Domicilla Silvi,,,Domicilla Silvi,Domicilla Silvi.md,Dn2VHsQgysW8,242927405012453064912,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MNR2GKyVAuUp,1580.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",Accademia degli Elevati di Reggio Emilia,,,,,,,
Agent,Domicilla Silvi,,,Domicilla Silvi,Domicilla Silvi.md,Dn2VHsQgysW8,242927405012453064912,occupation,,,,,,,,,,,,,,,,,,,
Agent,Domicilla Silvi,,,Domicilla Silvi,Domicilla Silvi.md,Dn2VHsQgysW8,242927405012453064912,related_to,,,,,,,,,,,,,,,,,,,
Agent,Domicilla Silvi,,,Domicilla Silvi,Domicilla Silvi.md,Dn2VHsQgysW8,242927405012453064912,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Domicilla Silvi,,,Domicilla Silvi,Domicilla Silvi.md,Dn2VHsQgysW8,242927405012453064912,interested_in,,,,,,,,,,,,,,,,,,,
Agent,Domicilla Silvi,,,Domicilla Silvi,Domicilla Silvi.md,Dn2VHsQgysW8,242927405012453064912,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",16305,
Agent,Domicilla Silvi,,,Domicilla Silvi,Domicilla Silvi.md,Dn2VHsQgysW8,242927405012453064912,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iQ4o46B3wUmP', 'label': 'Italian Women Writers'}",A0467,
Agent,Domicilla Silvi,,,Domicilla Silvi,Domicilla Silvi.md,Dn2VHsQgysW8,242927405012453064912,present_in_work,,,,,,,,,,,,,,,,,,,
