class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_volume,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Canta Urania la parte,,,Canta Urania la parte,Canta Urania la parte.md,EVpEEB8YRkBe,257699226837051861048,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/010780000101_PPPP00245600C,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Canta Urania la parte,,,Canta Urania la parte,Canta Urania la parte.md,EVpEEB8YRkBe,257699226837051861048,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Canta Urania la parte,,,Canta Urania la parte,Canta Urania la parte.md,EVpEEB8YRkBe,257699226837051861048,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Canta Urania la parte,,,Canta Urania la parte,Canta Urania la parte.md,EVpEEB8YRkBe,257699226837051861048,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BVmVM3rL2WcH,Giulio Renaldi,,,,,,,,,,,,,,,,,,
PoeticWork,Canta Urania la parte,,,Canta Urania la parte,Canta Urania la parte.md,EVpEEB8YRkBe,257699226837051861048,part_of,,,,,,,,,Musica. Alla M. Illustre Signora Contessa D. Ismeria Alberti Sareghi. Cesare Rinaldi.,95.0,4.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BwRaqPWUAJzz,Il Gareggiamento poetico del Confuso Accademico Ordito,,,,,,,,,,,,,
PoeticWork,Canta Urania la parte,,,Canta Urania la parte,Canta Urania la parte.md,EVpEEB8YRkBe,257699226837051861048,based_on,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Canta Urania la parte,,,Canta Urania la parte,Canta Urania la parte.md,EVpEEB8YRkBe,257699226837051861048,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Canta Urania la parte,,,Canta Urania la parte,Canta Urania la parte.md,EVpEEB8YRkBe,257699226837051861048,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bHJG3dg7VrRb,music making,,,,,,,,,
PoeticWork,Canta Urania la parte,,,Canta Urania la parte,Canta Urania la parte.md,EVpEEB8YRkBe,257699226837051861048,poetic_type,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
PoeticWork,Canta Urania la parte,,,Canta Urania la parte,Canta Urania la parte.md,EVpEEB8YRkBe,257699226837051861048,metre,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
