class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_place_of_publication,has_version_permalink,has_version_external_source,has_version_note,has_version_publisher,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value,depicts_label,identifier_value,described_by_source_value,described_by_source_label
Book,,De l'infinito universo et mondi,De l'infinito universo et mondi.md,De l'infinito universo et mondi,EZyWiRFbTrfU,259206361408515649331,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m7L8ASjPN8nA,treatise,,,,,,,,,,,,,,,,,,,,,
Book,,De l'infinito universo et mondi,De l'infinito universo et mondi.md,De l'infinito universo et mondi,EZyWiRFbTrfU,259206361408515649331,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BgmxnNpBupRa,dialogue,,,,,,,,,,,,,,,,,,,,,
Book,,De l'infinito universo et mondi,De l'infinito universo et mondi.md,De l'infinito universo et mondi,EZyWiRFbTrfU,259206361408515649331,title,,,Giordano Bruno nolano De l'infinito vniuerso et mondi,,,,,,,,,,,,,,,,,,,,
Book,,De l'infinito universo et mondi,De l'infinito universo et mondi.md,De l'infinito universo et mondi,EZyWiRFbTrfU,259206361408515649331,inception,,,,1584.0,,,,,,,,,,,,,,,,,,,
Book,,De l'infinito universo et mondi,De l'infinito universo et mondi.md,De l'infinito universo et mondi,EZyWiRFbTrfU,259206361408515649331,has_version,,,,,1584.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cbfXQVLz7Pey', 'label': 'London'}]",https://edit16.iccu.sbn.it/titolo/CNCE007710,http://digitale.bnc.roma.sbn.it/tecadigitale/visore/#/main/viewer?idMetadato=23738043&type=bncr,The actual publisher is John Charlewood in London.,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/n2tqChZSQcZQ', 'label': 'John Charlewood'}",,,,,,,,,,,,,
Book,,De l'infinito universo et mondi,De l'infinito universo et mondi.md,De l'infinito universo et mondi,EZyWiRFbTrfU,259206361408515649331,contributor,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2brEqdcLsYfo,Giordano Bruno,,,,,,,,,,
Book,,De l'infinito universo et mondi,De l'infinito universo et mondi.md,De l'infinito universo et mondi,EZyWiRFbTrfU,259206361408515649331,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f2FEyateEsYj,astronomy,,,,,,,,
Book,,De l'infinito universo et mondi,De l'infinito universo et mondi.md,De l'infinito universo et mondi,EZyWiRFbTrfU,259206361408515649331,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/T6Bs2vyA2y7g,heliocentrism,,,,,,,,
Book,,De l'infinito universo et mondi,De l'infinito universo et mondi.md,De l'infinito universo et mondi,EZyWiRFbTrfU,259206361408515649331,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mKfEc82yh2qM,philosophy,,,,,,,,
Book,,De l'infinito universo et mondi,De l'infinito universo et mondi.md,De l'infinito universo et mondi,EZyWiRFbTrfU,259206361408515649331,based_on,,,,,,,,,,,,,,,,,,,,,,,
Book,,De l'infinito universo et mondi,De l'infinito universo et mondi.md,De l'infinito universo et mondi,EZyWiRFbTrfU,259206361408515649331,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,,
Book,,De l'infinito universo et mondi,De l'infinito universo et mondi.md,De l'infinito universo et mondi,EZyWiRFbTrfU,259206361408515649331,has_part,,,,,,,,,,,,,,,,,,,,,,,
Book,,De l'infinito universo et mondi,De l'infinito universo et mondi.md,De l'infinito universo et mondi,EZyWiRFbTrfU,259206361408515649331,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9R22nChmKScL,celestial body,,,
Book,,De l'infinito universo et mondi,De l'infinito universo et mondi.md,De l'infinito universo et mondi,EZyWiRFbTrfU,259206361408515649331,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oMntA8sUyuyk,infinity,,,
Book,,De l'infinito universo et mondi,De l'infinito universo et mondi.md,De l'infinito universo et mondi,EZyWiRFbTrfU,259206361408515649331,identifier,,,,,,,,,,,,,,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE007710,,
Book,,De l'infinito universo et mondi,De l'infinito universo et mondi.md,De l'infinito universo et mondi,EZyWiRFbTrfU,259206361408515649331,described_by_source,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J2TbiQJjiTVj,(Wolf 2014)
Book,,De l'infinito universo et mondi,De l'infinito universo et mondi.md,De l'infinito universo et mondi,EZyWiRFbTrfU,259206361408515649331,described_by_source,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/V863VaniCEeW,(Yates 1964)
