class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,based_on_label,catalog_identifier_value,has_part_value,depicts_value,language_value,language_label
Book,"Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda",,,"Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda","Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda.md",EakoLsvTr46R,259487677937571880400,identifier,http://id.sbn.it/bid/RMLE068155,,,,,,,,,,,,,,,,,,,,
Book,"Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda",,,"Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda","Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda.md",EakoLsvTr46R,259487677937571880400,described_by_source,,,,,,,,,,,,,,,,,,,,,
Book,"Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda",,,"Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda","Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda.md",EakoLsvTr46R,259487677937571880400,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,,,
Book,"Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda",,,"Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda","Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda.md",EakoLsvTr46R,259487677937571880400,title,,,,,"Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda; Attione rappresentata nella Sereniss. città di Genoua dalla Sig. Virginia Andreini comica fedele",,,,,,,,,,,,,,,,
Book,"Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda",,,"Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda","Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda.md",EakoLsvTr46R,259487677937571880400,inception,,,,,,1603.0,,,,,,,,,,,,,,,
Book,"Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda",,,"Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda","Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda.md",EakoLsvTr46R,259487677937571880400,has_version,,,,,,,http://id.sbn.it/bid/RMLE068155,1603.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Bj2JQvStXBT3', 'label': 'Genova'}]",,,,,,,,,,,,
Book,"Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda",,,"Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda","Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda.md",EakoLsvTr46R,259487677937571880400,contributor,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fichLUAEWcmA,Virginia Ramponi-Andreini,,,,,,,,,
Book,"Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda",,,"Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda","Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda.md",EakoLsvTr46R,259487677937571880400,contributor,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nXkPKNmo3NoD,Giovanni Soranzo,,,,,,,,,
Book,"Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda",,,"Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda","Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda.md",EakoLsvTr46R,259487677937571880400,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,
Book,"Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda",,,"Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda","Rime di Giouanni Soranzo gentilhuomo venetiano, fatte in lode della Litterata disputante Florinda.md",EakoLsvTr46R,259487677937571880400,based_on,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/c7LBCneCWNWM,La Florinda tragedia di Gio. Battista Andreini comico Fedele,,,,,
