class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_place_of_publication,has_version_publisher,has_version_publication_date,has_version_external_source,has_version_holding_institution,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value
Book,Di m. Giulio Camillo. Tutte le opere,,,Di m. Giulio Camillo. Tutte le opere,Di m. Giulio Camillo. Tutte le opere.md,EybQZ2KEQE6o,267754742244808610385,identifier,https://edit16.iccu.sbn.it/titolo/CNCE008714,,,,,,,,,,,,,,,,,,,,,,
Book,Di m. Giulio Camillo. Tutte le opere,,,Di m. Giulio Camillo. Tutte le opere,Di m. Giulio Camillo. Tutte le opere.md,EybQZ2KEQE6o,267754742244808610385,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/001870010,,,,,,,,,,,,,,,,,,,,,,
Book,Di m. Giulio Camillo. Tutte le opere,,,Di m. Giulio Camillo. Tutte le opere,Di m. Giulio Camillo. Tutte le opere.md,EybQZ2KEQE6o,267754742244808610385,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,
Book,Di m. Giulio Camillo. Tutte le opere,,,Di m. Giulio Camillo. Tutte le opere,Di m. Giulio Camillo. Tutte le opere.md,EybQZ2KEQE6o,267754742244808610385,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,,,,
Book,Di m. Giulio Camillo. Tutte le opere,,,Di m. Giulio Camillo. Tutte le opere,Di m. Giulio Camillo. Tutte le opere.md,EybQZ2KEQE6o,267754742244808610385,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m7L8ASjPN8nA,treatise,,,,,,,,,,,,,,,,,,
Book,Di m. Giulio Camillo. Tutte le opere,,,Di m. Giulio Camillo. Tutte le opere,Di m. Giulio Camillo. Tutte le opere.md,EybQZ2KEQE6o,267754742244808610385,title,,,,,,"Di m. Giulio Camillo Tutte le opere cioè Discorso in materia del suo theatro. Lettera del riuolgimento dell'huomo a Dio. La idea. Due trattati: l'uno delle materie, l'altro della imitatione. Due orationi. Rime del detto",,,,,,,,,,,,,,,,,
Book,Di m. Giulio Camillo. Tutte le opere,,,Di m. Giulio Camillo. Tutte le opere,Di m. Giulio Camillo. Tutte le opere.md,EybQZ2KEQE6o,267754742244808610385,inception,,,,,,,1554.0,,,,,,,,,,,,,,,,
Book,Di m. Giulio Camillo. Tutte le opere,,,Di m. Giulio Camillo. Tutte le opere,Di m. Giulio Camillo. Tutte le opere.md,EybQZ2KEQE6o,267754742244808610385,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE008714,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dt83qSxSrD7X', 'label': ""Gabriele Giolito de' Ferrari""}",1554.0,https://viewer.onb.ac.at/10981A4A/,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UwTkUJm3SQTb', 'label': 'Austrian National Library'}",https://api.onb.ac.at/iiif/presentation/v3/manifest/10981A4A,,,,,,,,,
Book,Di m. Giulio Camillo. Tutte le opere,,,Di m. Giulio Camillo. Tutte le opere,Di m. Giulio Camillo. Tutte le opere.md,EybQZ2KEQE6o,267754742244808610385,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/V5TVPGB5izXm,Giulio Camillo,,,,,,
Book,Di m. Giulio Camillo. Tutte le opere,,,Di m. Giulio Camillo. Tutte le opere,Di m. Giulio Camillo. Tutte le opere.md,EybQZ2KEQE6o,267754742244808610385,subject,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RmaA75A9H4A7,ars combinatoria,,,,
