class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Bartolomeo Cesano,,,Bartolomeo Cesano,Bartolomeo Cesano.md,GYypVAMoGqWs,300118107663593039734,identifier,http://www.wikidata.org/entity/Q109995923,,,,,,,,,,,,,,,
Agent,Bartolomeo Cesano,,,Bartolomeo Cesano,Bartolomeo Cesano.md,GYypVAMoGqWs,300118107663593039734,described_by_source,,,,,,,,,,,,,,,,
Agent,Bartolomeo Cesano,,,Bartolomeo Cesano,Bartolomeo Cesano.md,GYypVAMoGqWs,300118107663593039734,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Bartolomeo Cesano,,,Bartolomeo Cesano,Bartolomeo Cesano.md,GYypVAMoGqWs,300118107663593039734,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,Bartolomeo Cesano,,,Bartolomeo Cesano,Bartolomeo Cesano.md,GYypVAMoGqWs,300118107663593039734,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq,Venezia,,,,,,,,
Agent,Bartolomeo Cesano,,,Bartolomeo Cesano,Bartolomeo Cesano.md,GYypVAMoGqWs,300118107663593039734,member_of,,,,,,,,,,,,,,,,
Agent,Bartolomeo Cesano,,,Bartolomeo Cesano,Bartolomeo Cesano.md,GYypVAMoGqWs,300118107663593039734,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2hYMECrC2z35,publisher,,,,,
Agent,Bartolomeo Cesano,,,Bartolomeo Cesano,Bartolomeo Cesano.md,GYypVAMoGqWs,300118107663593039734,related_to,,,,,,,,,,,,,,,,
Agent,Bartolomeo Cesano,,,Bartolomeo Cesano,Bartolomeo Cesano.md,GYypVAMoGqWs,300118107663593039734,notable_work,,,,,,,,,,,,,,,,
Agent,Bartolomeo Cesano,,,Bartolomeo Cesano,Bartolomeo Cesano.md,GYypVAMoGqWs,300118107663593039734,interested_in,,,,,,,,,,,,,,,,
Agent,Bartolomeo Cesano,,,Bartolomeo Cesano,Bartolomeo Cesano.md,GYypVAMoGqWs,300118107663593039734,catalog_identifier,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",16551.0
