class,base_name,filename,label,id,n_id,property,identifier_value,instance_of_value,gender_value,work_location_value,member_of_value,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Luigi Alamanni,Luigi Alamanni.md,Luigi Alamanni,GfNhWec4EkAr,302429262735022153680,identifier,http://www.wikidata.org/entity/Q721846,,,,,,,,,,,,,
Agent,Luigi Alamanni,Luigi Alamanni.md,Luigi Alamanni,GfNhWec4EkAr,302429262735022153680,instance_of,,,,,,,,,,,,,,
Agent,Luigi Alamanni,Luigi Alamanni.md,Luigi Alamanni,GfNhWec4EkAr,302429262735022153680,gender,,,,,,,,,,,,,,
Agent,Luigi Alamanni,Luigi Alamanni.md,Luigi Alamanni,GfNhWec4EkAr,302429262735022153680,work_location,,,,,,,,,,,,,,
Agent,Luigi Alamanni,Luigi Alamanni.md,Luigi Alamanni,GfNhWec4EkAr,302429262735022153680,member_of,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9X7SmTENZRVk,Accademia degli Infiammati di Padova,,,,,,,,
Agent,Luigi Alamanni,Luigi Alamanni.md,Luigi Alamanni,GfNhWec4EkAr,302429262735022153680,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,
Agent,Luigi Alamanni,Luigi Alamanni.md,Luigi Alamanni,GfNhWec4EkAr,302429262735022153680,related_to,,,,,,,,,,,,,,
Agent,Luigi Alamanni,Luigi Alamanni.md,Luigi Alamanni,GfNhWec4EkAr,302429262735022153680,notable_work,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WzC4uAhzQRBw,Girone il cortese di Luigi Alamanni,,,
Agent,Luigi Alamanni,Luigi Alamanni.md,Luigi Alamanni,GfNhWec4EkAr,302429262735022153680,interested_in,,,,,,,,,,,,,,
Agent,Luigi Alamanni,Luigi Alamanni.md,Luigi Alamanni,GfNhWec4EkAr,302429262735022153680,catalog_identifier,,,,,,,,,,,,,,
Agent,Luigi Alamanni,Luigi Alamanni.md,Luigi Alamanni,GfNhWec4EkAr,302429262735022153680,present_in_work,,,,,,,,,,,,,,
