class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,text_value,language_value,language_label
PoeticWork,"Canto l'arme pietose, e'l Capitano",,,"Canto l'arme pietose, e'l Capitano","Canto l'arme pietose, e'l Capitano.md",GhS4fnsNs9Y7,303174630244615473608,identifier,https://versologie.cz/poetree/browser/poem?corpus=it&id_poem=35246,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Canto l'arme pietose, e'l Capitano",,,"Canto l'arme pietose, e'l Capitano","Canto l'arme pietose, e'l Capitano.md",GhS4fnsNs9Y7,303174630244615473608,described_by_source,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Canto l'arme pietose, e'l Capitano",,,"Canto l'arme pietose, e'l Capitano","Canto l'arme pietose, e'l Capitano.md",GhS4fnsNs9Y7,303174630244615473608,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,
PoeticWork,"Canto l'arme pietose, e'l Capitano",,,"Canto l'arme pietose, e'l Capitano","Canto l'arme pietose, e'l Capitano.md",GhS4fnsNs9Y7,303174630244615473608,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UJZ7Qau55M9Z,Torquato Tasso,,,,,,,,,,,,,,,
PoeticWork,"Canto l'arme pietose, e'l Capitano",,,"Canto l'arme pietose, e'l Capitano","Canto l'arme pietose, e'l Capitano.md",GhS4fnsNs9Y7,303174630244615473608,part_of,,,,,,,,"Canto I, 1",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Lv8EW8V8UKXk,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,,,,,,,,,,
PoeticWork,"Canto l'arme pietose, e'l Capitano",,,"Canto l'arme pietose, e'l Capitano","Canto l'arme pietose, e'l Capitano.md",GhS4fnsNs9Y7,303174630244615473608,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Canto l'arme pietose, e'l Capitano",,,"Canto l'arme pietose, e'l Capitano","Canto l'arme pietose, e'l Capitano.md",GhS4fnsNs9Y7,303174630244615473608,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Canto l'arme pietose, e'l Capitano",,,"Canto l'arme pietose, e'l Capitano","Canto l'arme pietose, e'l Capitano.md",GhS4fnsNs9Y7,303174630244615473608,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SeFHUS9MYJuk,Crusades,,,,,,,,
PoeticWork,"Canto l'arme pietose, e'l Capitano",,,"Canto l'arme pietose, e'l Capitano","Canto l'arme pietose, e'l Capitano.md",GhS4fnsNs9Y7,303174630244615473608,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QKnFCoKHDFvG,ottava rima,,,,,,
PoeticWork,"Canto l'arme pietose, e'l Capitano",,,"Canto l'arme pietose, e'l Capitano","Canto l'arme pietose, e'l Capitano.md",GhS4fnsNs9Y7,303174630244615473608,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,
PoeticWork,"Canto l'arme pietose, e'l Capitano",,,"Canto l'arme pietose, e'l Capitano","Canto l'arme pietose, e'l Capitano.md",GhS4fnsNs9Y7,303174630244615473608,depicts,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Canto l'arme pietose, e'l Capitano",,,"Canto l'arme pietose, e'l Capitano","Canto l'arme pietose, e'l Capitano.md",GhS4fnsNs9Y7,303174630244615473608,text,,,,,,,,,,,,,,,,,,,,"Canto l'Arme pietose, e'l Capitano,
Che'l gran Sepolcro liberò di CHRISTO:
Molto egli oprò col senno, e con la mano,
Molto soffrì nel glorioso acquisto.
E in van l'Inferno vi s'oppose, e in vano
S'armò d'Asia, e di Libia il popol misto,
Il Ciel gli diè favore, e sotto a i santi
Segni ridusse i suoi compagni erranti.",,
PoeticWork,"Canto l'arme pietose, e'l Capitano",,,"Canto l'arme pietose, e'l Capitano","Canto l'arme pietose, e'l Capitano.md",GhS4fnsNs9Y7,303174630244615473608,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian
