class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_holding_institution,has_version_external_source,has_version_IIIF_manifest,has_version_permalink,has_version_place_of_publication,has_version_publisher,has_version_publication_date,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci,,,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci.md,GoaiBuk3RirZ,305401821735498355768,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV17500010,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci,,,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci.md,GoaiBuk3RirZ,305401821735498355768,identifier,https://rism.online/sources/990054528,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci,,,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci.md,GoaiBuk3RirZ,305401821735498355768,identifier,https://edit16.iccu.sbn.it/titolo/CNCE045265,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci,,,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci.md,GoaiBuk3RirZ,305401821735498355768,described_by_source,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci,,,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci.md,GoaiBuk3RirZ,305401821735498355768,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,,,
NotatedMusic,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci,,,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci.md,GoaiBuk3RirZ,305401821735498355768,title,,,,,"Di Giulio Renaldi padouano il primo libro de madrigali a quatro voci, con un madregale due uolte a quatro & si puo giugnere quale parte piace di l'uno all'altro & anco si puo cantare a otto. Nouamente da lui posti in luce",,,,,,,,,,,,,,,,
NotatedMusic,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci,,,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci.md,GoaiBuk3RirZ,305401821735498355768,inception,,,,,,1569.0,,,,,,,,,,,,,,,
NotatedMusic,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci,,,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci.md,GoaiBuk3RirZ,305401821735498355768,has_version,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vr34aVTZvrrW', 'label': 'Munich Digitization Center'}",https://stimmbuecher.digitale-sammlungen.de/view?id=bsb00075411,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00075411/manifest,https://edit16.iccu.sbn.it/titolo/CNCE045265,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BAscdG7oumi7', 'label': 'Antonio Gardano'}",1569.0,,,,,,,,
NotatedMusic,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci,,,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci.md,GoaiBuk3RirZ,305401821735498355768,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BVmVM3rL2WcH,Giulio Renaldi,,,,,
NotatedMusic,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci,,,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci.md,GoaiBuk3RirZ,305401821735498355768,subject,,,,,,,,,,,,,,,,,,,,,
