class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value,language_value,language_label,subject_value,poetic_type_value,depicts_value,metre_value
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,GomgFtSvmcRa,305471472733698463883,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F054940000010101_000000012200C,,,,,,,,,,,,,,,,,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,GomgFtSvmcRa,305471472733698463883,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,GomgFtSvmcRa,305471472733698463883,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,,,,,,,,,,,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,GomgFtSvmcRa,305471472733698463883,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6i2dMd6jYqCG,Girolamo Parabosco,,,,,,,,,,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,GomgFtSvmcRa,305471472733698463883,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fxamCxHNJLFY,Adriano Anvilla,,,,,,,,,,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,GomgFtSvmcRa,305471472733698463883,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2Crj9QoT9n4X,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,,,,,,,,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,GomgFtSvmcRa,305471472733698463883,instrumentation,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,GomgFtSvmcRa,305471472733698463883,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YCBuHEouo5mz,Come potrò narrarvi il dolor mio,,,,,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,GomgFtSvmcRa,305471472733698463883,derivative_work,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,GomgFtSvmcRa,305471472733698463883,text,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,GomgFtSvmcRa,305471472733698463883,language,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,GomgFtSvmcRa,305471472733698463883,subject,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,GomgFtSvmcRa,305471472733698463883,poetic_type,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,GomgFtSvmcRa,305471472733698463883,depicts,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,GomgFtSvmcRa,305471472733698463883,metre,,,,,,,,,,,,,,,,,,,,,
