class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Ride la terra, e d'ogni parte rende","The animal kingdom is rejoicing under the guidance of Amor. Everybody is enjoying love, but the author.",,"Ride la terra, e d'ogni parte rende","Ride la terra, e d'ogni parte rende.md",Gs7LhF2pBGU2,306676071465935162721,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Ride la terra, e d'ogni parte rende","The animal kingdom is rejoicing under the guidance of Amor. Everybody is enjoying love, but the author.",,"Ride la terra, e d'ogni parte rende","Ride la terra, e d'ogni parte rende.md",Gs7LhF2pBGU2,306676071465935162721,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U396cDbhvLZQ,(Gambara 2014),,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Ride la terra, e d'ogni parte rende","The animal kingdom is rejoicing under the guidance of Amor. Everybody is enjoying love, but the author.",,"Ride la terra, e d'ogni parte rende","Ride la terra, e d'ogni parte rende.md",Gs7LhF2pBGU2,306676071465935162721,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,"Ride la terra, e d'ogni parte rende","The animal kingdom is rejoicing under the guidance of Amor. Everybody is enjoying love, but the author.",,"Ride la terra, e d'ogni parte rende","Ride la terra, e d'ogni parte rende.md",Gs7LhF2pBGU2,306676071465935162721,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RPt3AF9FDvgd,Veronica Gambara,,,,,,,,,,,,,,,,
PoeticWork,"Ride la terra, e d'ogni parte rende","The animal kingdom is rejoicing under the guidance of Amor. Everybody is enjoying love, but the author.",,"Ride la terra, e d'ogni parte rende","Ride la terra, e d'ogni parte rende.md",Gs7LhF2pBGU2,306676071465935162721,part_of,,,,,,,,,"Poems of Love, 13",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U396cDbhvLZQ,(Gambara 2014),,,,,,,,,,,,,
PoeticWork,"Ride la terra, e d'ogni parte rende","The animal kingdom is rejoicing under the guidance of Amor. Everybody is enjoying love, but the author.",,"Ride la terra, e d'ogni parte rende","Ride la terra, e d'ogni parte rende.md",Gs7LhF2pBGU2,306676071465935162721,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Ride la terra, e d'ogni parte rende","The animal kingdom is rejoicing under the guidance of Amor. Everybody is enjoying love, but the author.",,"Ride la terra, e d'ogni parte rende","Ride la terra, e d'ogni parte rende.md",Gs7LhF2pBGU2,306676071465935162721,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Ride la terra, e d'ogni parte rende","The animal kingdom is rejoicing under the guidance of Amor. Everybody is enjoying love, but the author.",,"Ride la terra, e d'ogni parte rende","Ride la terra, e d'ogni parte rende.md",Gs7LhF2pBGU2,306676071465935162721,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oJY5qFoWFwDr,abandonment,,,,,,,,,
PoeticWork,"Ride la terra, e d'ogni parte rende","The animal kingdom is rejoicing under the guidance of Amor. Everybody is enjoying love, but the author.",,"Ride la terra, e d'ogni parte rende","Ride la terra, e d'ogni parte rende.md",Gs7LhF2pBGU2,306676071465935162721,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3eQerXqUEkt2,juxtaposition,,,,,,,,,
PoeticWork,"Ride la terra, e d'ogni parte rende","The animal kingdom is rejoicing under the guidance of Amor. Everybody is enjoying love, but the author.",,"Ride la terra, e d'ogni parte rende","Ride la terra, e d'ogni parte rende.md",Gs7LhF2pBGU2,306676071465935162721,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,,,
PoeticWork,"Ride la terra, e d'ogni parte rende","The animal kingdom is rejoicing under the guidance of Amor. Everybody is enjoying love, but the author.",,"Ride la terra, e d'ogni parte rende","Ride la terra, e d'ogni parte rende.md",Gs7LhF2pBGU2,306676071465935162721,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,"Ride la terra, e d'ogni parte rende","The animal kingdom is rejoicing under the guidance of Amor. Everybody is enjoying love, but the author.",,"Ride la terra, e d'ogni parte rende","Ride la terra, e d'ogni parte rende.md",Gs7LhF2pBGU2,306676071465935162721,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZsNG8yssbKzY,animal,,,
PoeticWork,"Ride la terra, e d'ogni parte rende","The animal kingdom is rejoicing under the guidance of Amor. Everybody is enjoying love, but the author.",,"Ride la terra, e d'ogni parte rende","Ride la terra, e d'ogni parte rende.md",Gs7LhF2pBGU2,306676071465935162721,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TRHMAMaRfnLP,torment,,,
PoeticWork,"Ride la terra, e d'ogni parte rende","The animal kingdom is rejoicing under the guidance of Amor. Everybody is enjoying love, but the author.",,"Ride la terra, e d'ogni parte rende","Ride la terra, e d'ogni parte rende.md",Gs7LhF2pBGU2,306676071465935162721,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,"Ride la terra, e d'ogni parte rende","The animal kingdom is rejoicing under the guidance of Amor. Everybody is enjoying love, but the author.",,"Ride la terra, e d'ogni parte rende","Ride la terra, e d'ogni parte rende.md",Gs7LhF2pBGU2,306676071465935162721,text,,,,,,,,,,,,,,,,,,,,,,,,"Ride la terra, e d’ogni parte rende
mille soavi e dilettosi odori;
coperta di leggiadri e vaghi fiori
a guisa d’un bel ciel tutta risplende.

Amor, ch’in tal stagion forza riprende,
rinova in ogni cor gli antichi amori,
e mille cari e leggiadretti ardori
d’ogni fedele amante in petto accende.

Scherzano per le piagge, lascivetti,
gli animai, l’un l’altro festeggiando,
ch’Amore insegna lor novi diletti;

sola io, d’ogni mia pace posta in bando,
offesa da timor, noie, e sospetti,
lontana dal mio ben vivo penando."
