class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,member_reference,member_label,interested_in_value,notable_work_value
Organisation,Accademia degli Oziosi di Napoli,,,Accademia degli Oziosi di Napoli,Accademia degli Oziosi di Napoli.md,HgeP9DKTPBeR,323526771705737020883,identifier,,,,,,,,,,,,,,,,
Organisation,Accademia degli Oziosi di Napoli,,,Accademia degli Oziosi di Napoli,Accademia degli Oziosi di Napoli.md,HgeP9DKTPBeR,323526771705737020883,described_by_source,,,,,,,,,,,,,,,,
Organisation,Accademia degli Oziosi di Napoli,,,Accademia degli Oziosi di Napoli,Accademia degli Oziosi di Napoli.md,HgeP9DKTPBeR,323526771705737020883,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,
Organisation,Accademia degli Oziosi di Napoli,,,Accademia degli Oziosi di Napoli,Accademia degli Oziosi di Napoli.md,HgeP9DKTPBeR,323526771705737020883,inception,,,,,,,,,,,,,,,,
Organisation,Accademia degli Oziosi di Napoli,,,Accademia degli Oziosi di Napoli,Accademia degli Oziosi di Napoli.md,HgeP9DKTPBeR,323526771705737020883,dissolved,,,,,,,,,,,,,,,,
Organisation,Accademia degli Oziosi di Napoli,,,Accademia degli Oziosi di Napoli,Accademia degli Oziosi di Napoli.md,HgeP9DKTPBeR,323526771705737020883,location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gbLYmsbE7QZL,Napoli,,,,,,,,
Organisation,Accademia degli Oziosi di Napoli,,,Accademia degli Oziosi di Napoli,Accademia degli Oziosi di Napoli.md,HgeP9DKTPBeR,323526771705737020883,official_website,,,,,,,,,,,,,,,,
Organisation,Accademia degli Oziosi di Napoli,,,Accademia degli Oziosi di Napoli,Accademia degli Oziosi di Napoli.md,HgeP9DKTPBeR,323526771705737020883,catalog_identifier,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",17.0,,,,,
Organisation,Accademia degli Oziosi di Napoli,,,Accademia degli Oziosi di Napoli,Accademia degli Oziosi di Napoli.md,HgeP9DKTPBeR,323526771705737020883,member,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/G4UZA6iXzGV8,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",Giulio Cesare Capaccio,,
Organisation,Accademia degli Oziosi di Napoli,,,Accademia degli Oziosi di Napoli,Accademia degli Oziosi di Napoli.md,HgeP9DKTPBeR,323526771705737020883,interested_in,,,,,,,,,,,,,,,,
Organisation,Accademia degli Oziosi di Napoli,,,Accademia degli Oziosi di Napoli,Accademia degli Oziosi di Napoli.md,HgeP9DKTPBeR,323526771705737020883,notable_work,,,,,,,,,,,,,,,,
