class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_place_of_publication,has_version_publisher,has_version_publication_date,has_version_permalink,has_version_external_source,has_version_iiif_manifest,has_version_note,has_version_IIIF_manifest,has_version_holding_institution,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,Canzonette di Orazio Vecchi. Libro primo a quattro voci,Canzonette di Orazio Vecchi. Libro primo a quattro voci.md,HrUA7MGNdCAq,327082138184430966599,identifier,https://edit16.iccu.sbn.it/titolo/CNCE045803,,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,Canzonette di Orazio Vecchi. Libro primo a quattro voci,Canzonette di Orazio Vecchi. Libro primo a quattro voci.md,HrUA7MGNdCAq,327082138184430966599,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/NV21290010,,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,Canzonette di Orazio Vecchi. Libro primo a quattro voci,Canzonette di Orazio Vecchi. Libro primo a quattro voci.md,HrUA7MGNdCAq,327082138184430966599,identifier,https://rism.online/sources/990066029,,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,Canzonette di Orazio Vecchi. Libro primo a quattro voci,Canzonette di Orazio Vecchi. Libro primo a quattro voci.md,HrUA7MGNdCAq,327082138184430966599,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,Canzonette di Orazio Vecchi. Libro primo a quattro voci,Canzonette di Orazio Vecchi. Libro primo a quattro voci.md,HrUA7MGNdCAq,327082138184430966599,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,Canzonette di Orazio Vecchi. Libro primo a quattro voci,Canzonette di Orazio Vecchi. Libro primo a quattro voci.md,HrUA7MGNdCAq,327082138184430966599,title,,,,,,Canzonette di Oratio Vecchi da Modona Libro Primo a quattro voci novamente ristampate,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,Canzonette di Orazio Vecchi. Libro primo a quattro voci,Canzonette di Orazio Vecchi. Libro primo a quattro voci.md,HrUA7MGNdCAq,327082138184430966599,inception,,,,,,,1580.0,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,Canzonette di Orazio Vecchi. Libro primo a quattro voci,Canzonette di Orazio Vecchi. Libro primo a quattro voci.md,HrUA7MGNdCAq,327082138184430966599,has_version,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ah3xiLm7tVeM', 'label': 'Angelo Gardano'}",1580.0,https://edit16.iccu.sbn.it/titolo/CNCE045803,http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_U/U263/,,,,,,,,,,,,
NotatedMusic,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,Canzonette di Orazio Vecchi. Libro primo a quattro voci,Canzonette di Orazio Vecchi. Libro primo a quattro voci.md,HrUA7MGNdCAq,327082138184430966599,has_version,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ah3xiLm7tVeM', 'label': 'Angelo Gardano'}",1580.0,https://edit16.iccu.sbn.it/titolo/CNCE045803,https://www.digitale-sammlungen.de/en/view/bsb00080510,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00080510/manifest,Bassus only.,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00080510/manifest,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vr34aVTZvrrW', 'label': 'Munich Digitization Center'}",,,,,,,,
NotatedMusic,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,Canzonette di Orazio Vecchi. Libro primo a quattro voci,Canzonette di Orazio Vecchi. Libro primo a quattro voci.md,HrUA7MGNdCAq,327082138184430966599,contributor,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dpY4EJejw4PK,Orazio Vecchi,,,,,
