class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publisher,has_version_place_of_publication,has_version_external_source,has_version_holding_institution,has_version_publication_date,contributor_value,subject_value,subject_label,has_part_value,based_on_value,catalog_identifier_value
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,JLv6HZNGtUao,337021750392060514299,identifier,https://edit16.iccu.sbn.it/titolo/CNCE000060,,,,,,,,,,,,,,,,,,
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,JLv6HZNGtUao,337021750392060514299,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/501120010,,,,,,,,,,,,,,,,,,
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,JLv6HZNGtUao,337021750392060514299,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,JLv6HZNGtUao,337021750392060514299,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6u5awMPzi2uW,(Gurrei 2020),,,,,,,,,,,,,,,,
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,JLv6HZNGtUao,337021750392060514299,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,,,
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,JLv6HZNGtUao,337021750392060514299,title,,,,,,Ricreationi amorose de gli Academici Gelati di Bologna,,,,,,,,,,,,,
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,JLv6HZNGtUao,337021750392060514299,inception,,,,,,,,,,,,,,,,,,,
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,JLv6HZNGtUao,337021750392060514299,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE000060,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ET8o3aLzZqei', 'label': 'Giovanni Rossi'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AC4Js3EhuZqL', 'label': 'Bologna'}]",https://archive.org/details/ricreationiamor00carr,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9eKVhXSNUgzN', 'label': 'Duke university'}",1590.0,,,,,,
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,JLv6HZNGtUao,337021750392060514299,contributor,,,,,,,,,,,,,,,,,,,
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,JLv6HZNGtUao,337021750392060514299,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Bn5ScQdZ4EM4,republic of letters,,,
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,JLv6HZNGtUao,337021750392060514299,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NALenMNqEw64,impresa,,,
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,JLv6HZNGtUao,337021750392060514299,has_part,,,,,,,,,,,,,,,,,,,
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,JLv6HZNGtUao,337021750392060514299,based_on,,,,,,,,,,,,,,,,,,,
Book,Ricreazioni amorose de gli Academici Gelati di Bologna,,,Ricreazioni amorose de gli Academici Gelati di Bologna,Ricreazioni amorose de gli Academici Gelati di Bologna.md,JLv6HZNGtUao,337021750392060514299,catalog_identifier,,,,,,,,,,,,,,,,,,,
