class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Filli caro ben mio,"Poem depicting the return of light after the darkness of night, thanks to the Sun.",,Filli caro ben mio,Filli caro ben mio.md,JY6qvS7L9qLE,341066143731581655240,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Filli caro ben mio,"Poem depicting the return of light after the darkness of night, thanks to the Sun.",,Filli caro ben mio,Filli caro ben mio.md,JY6qvS7L9qLE,341066143731581655240,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Filli caro ben mio,"Poem depicting the return of light after the darkness of night, thanks to the Sun.",,Filli caro ben mio,Filli caro ben mio.md,JY6qvS7L9qLE,341066143731581655240,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Filli caro ben mio,"Poem depicting the return of light after the darkness of night, thanks to the Sun.",,Filli caro ben mio,Filli caro ben mio.md,JY6qvS7L9qLE,341066143731581655240,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGWk3kKYpoWd,Francesco Maria Caccianemici,,,,,,,,,,,,,,,,,
PoeticWork,Filli caro ben mio,"Poem depicting the return of light after the darkness of night, thanks to the Sun.",,Filli caro ben mio,Filli caro ben mio.md,JY6qvS7L9qLE,341066143731581655240,part_of,,,,,,,,Del Tenebroso,38.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YGHkPLurgTyx,Ricreazioni amorose de gli Academici Gelati di Bologna,,,,,,,,,,,,,
PoeticWork,Filli caro ben mio,"Poem depicting the return of light after the darkness of night, thanks to the Sun.",,Filli caro ben mio,Filli caro ben mio.md,JY6qvS7L9qLE,341066143731581655240,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Filli caro ben mio,"Poem depicting the return of light after the darkness of night, thanks to the Sun.",,Filli caro ben mio,Filli caro ben mio.md,JY6qvS7L9qLE,341066143731581655240,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Filli caro ben mio,"Poem depicting the return of light after the darkness of night, thanks to the Sun.",,Filli caro ben mio,Filli caro ben mio.md,JY6qvS7L9qLE,341066143731581655240,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XLktudVaMszu,anaphora,,,,,,,,,
PoeticWork,Filli caro ben mio,"Poem depicting the return of light after the darkness of night, thanks to the Sun.",,Filli caro ben mio,Filli caro ben mio.md,JY6qvS7L9qLE,341066143731581655240,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
PoeticWork,Filli caro ben mio,"Poem depicting the return of light after the darkness of night, thanks to the Sun.",,Filli caro ben mio,Filli caro ben mio.md,JY6qvS7L9qLE,341066143731581655240,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,Filli caro ben mio,"Poem depicting the return of light after the darkness of night, thanks to the Sun.",,Filli caro ben mio,Filli caro ben mio.md,JY6qvS7L9qLE,341066143731581655240,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Filli caro ben mio,"Poem depicting the return of light after the darkness of night, thanks to the Sun.",,Filli caro ben mio,Filli caro ben mio.md,JY6qvS7L9qLE,341066143731581655240,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HnxuMdc6Fiog,Alexis,,,
PoeticWork,Filli caro ben mio,"Poem depicting the return of light after the darkness of night, thanks to the Sun.",,Filli caro ben mio,Filli caro ben mio.md,JY6qvS7L9qLE,341066143731581655240,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ndCJMutbF4oJ,Filli,,,
PoeticWork,Filli caro ben mio,"Poem depicting the return of light after the darkness of night, thanks to the Sun.",,Filli caro ben mio,Filli caro ben mio.md,JY6qvS7L9qLE,341066143731581655240,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YGRByAyckPA5,kiss,,,
PoeticWork,Filli caro ben mio,"Poem depicting the return of light after the darkness of night, thanks to the Sun.",,Filli caro ben mio,Filli caro ben mio.md,JY6qvS7L9qLE,341066143731581655240,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Filli caro ben mio,"Poem depicting the return of light after the darkness of night, thanks to the Sun.",,Filli caro ben mio,Filli caro ben mio.md,JY6qvS7L9qLE,341066143731581655240,text,,,,,,,,,,,,,,,,,,,,,,,,"Filli caro ben mio,
Da quelle dolci labbia
Deh fa ch'un bacio solo, un sol bacio habbia,
Prendilo Alessi, ch'io
O dar non lo saprei,
O dandolo morrei.
Oh dolci baci, dolcemente impressi,
Oh mia Filli, o mio Alessi."
