class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,inception_value,dissolved_value,location_value,official_website_value,catalog_identifier_value,member_value,interested_in_value,interested_in_label,notable_work_value
Organisation,Treccani Vocabulary,,,Treccani Vocabulary,Treccani Vocabulary.md,KEAbER5X4vXV,355209211266738030015,identifier,http://www.wikidata.org/entity/Q4015908,,,,,,,,,,,
Organisation,Treccani Vocabulary,,,Treccani Vocabulary,Treccani Vocabulary.md,KEAbER5X4vXV,355209211266738030015,described_by_source,,,,,,,,,,,,
Organisation,Treccani Vocabulary,,,Treccani Vocabulary,Treccani Vocabulary.md,KEAbER5X4vXV,355209211266738030015,instance_of,,,[[dictionary]],,,,,,,,,
Organisation,Treccani Vocabulary,,,Treccani Vocabulary,Treccani Vocabulary.md,KEAbER5X4vXV,355209211266738030015,inception,,,,,,,,,,,,
Organisation,Treccani Vocabulary,,,Treccani Vocabulary,Treccani Vocabulary.md,KEAbER5X4vXV,355209211266738030015,dissolved,,,,,,,,,,,,
Organisation,Treccani Vocabulary,,,Treccani Vocabulary,Treccani Vocabulary.md,KEAbER5X4vXV,355209211266738030015,location,,,,,,,,,,,,
Organisation,Treccani Vocabulary,,,Treccani Vocabulary,Treccani Vocabulary.md,KEAbER5X4vXV,355209211266738030015,official_website,,,,,,,https://www.treccani.it/vocabolario/,,,,,
Organisation,Treccani Vocabulary,,,Treccani Vocabulary,Treccani Vocabulary.md,KEAbER5X4vXV,355209211266738030015,catalog_identifier,,,,,,,,,,,,
Organisation,Treccani Vocabulary,,,Treccani Vocabulary,Treccani Vocabulary.md,KEAbER5X4vXV,355209211266738030015,member,,,,,,,,,,,,
Organisation,Treccani Vocabulary,,,Treccani Vocabulary,Treccani Vocabulary.md,KEAbER5X4vXV,355209211266738030015,interested_in,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YozCjWFUiBGt,Italian language,
Organisation,Treccani Vocabulary,,,Treccani Vocabulary,Treccani Vocabulary.md,KEAbER5X4vXV,355209211266738030015,notable_work,,,,,,,,,,,,
