class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Marina Antonazzoni,,"['Marina Dorotea Antonazzoni', 'Lavinia']",Marina Antonazzoni,Marina Antonazzoni.md,KasacuRRNbZB,362710220386908639522,identifier,,,,,,,,,,,,,,,,,
Agent,Marina Antonazzoni,,"['Marina Dorotea Antonazzoni', 'Lavinia']",Marina Antonazzoni,Marina Antonazzoni.md,KasacuRRNbZB,362710220386908639522,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX,(Ferrone 2011),,,,,,,,,,,,,,
Agent,Marina Antonazzoni,,"['Marina Dorotea Antonazzoni', 'Lavinia']",Marina Antonazzoni,Marina Antonazzoni.md,KasacuRRNbZB,362710220386908639522,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Marina Antonazzoni,,"['Marina Dorotea Antonazzoni', 'Lavinia']",Marina Antonazzoni,Marina Antonazzoni.md,KasacuRRNbZB,362710220386908639522,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,
Agent,Marina Antonazzoni,,"['Marina Dorotea Antonazzoni', 'Lavinia']",Marina Antonazzoni,Marina Antonazzoni.md,KasacuRRNbZB,362710220386908639522,work_location,,,,,,,,,,,,,,,,,
Agent,Marina Antonazzoni,,"['Marina Dorotea Antonazzoni', 'Lavinia']",Marina Antonazzoni,Marina Antonazzoni.md,KasacuRRNbZB,362710220386908639522,member_of,,,,,,,,,,,,,,,,,
Agent,Marina Antonazzoni,,"['Marina Dorotea Antonazzoni', 'Lavinia']",Marina Antonazzoni,Marina Antonazzoni.md,KasacuRRNbZB,362710220386908639522,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/imEvebZ5kR6C,actor,,,,,,
Agent,Marina Antonazzoni,,"['Marina Dorotea Antonazzoni', 'Lavinia']",Marina Antonazzoni,Marina Antonazzoni.md,KasacuRRNbZB,362710220386908639522,related_to,,,,,,,,,,,,,,,,,
Agent,Marina Antonazzoni,,"['Marina Dorotea Antonazzoni', 'Lavinia']",Marina Antonazzoni,Marina Antonazzoni.md,KasacuRRNbZB,362710220386908639522,notable_work,,,,,,,,,,,,,,,,,
Agent,Marina Antonazzoni,,"['Marina Dorotea Antonazzoni', 'Lavinia']",Marina Antonazzoni,Marina Antonazzoni.md,KasacuRRNbZB,362710220386908639522,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,
Agent,Marina Antonazzoni,,"['Marina Dorotea Antonazzoni', 'Lavinia']",Marina Antonazzoni,Marina Antonazzoni.md,KasacuRRNbZB,362710220386908639522,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Marina Antonazzoni,,"['Marina Dorotea Antonazzoni', 'Lavinia']",Marina Antonazzoni,Marina Antonazzoni.md,KasacuRRNbZB,362710220386908639522,present_in_work,,,,,,,,,,,,,,,,,
