class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Piangete meco, afflitti occhi dolenti",,,"Piangete meco, afflitti occhi dolenti","Piangete meco, afflitti occhi dolenti.md",LVy2UR4rdjE6,381570480049522405891,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Piangete meco, afflitti occhi dolenti",,,"Piangete meco, afflitti occhi dolenti","Piangete meco, afflitti occhi dolenti.md",LVy2UR4rdjE6,381570480049522405891,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Piangete meco, afflitti occhi dolenti",,,"Piangete meco, afflitti occhi dolenti","Piangete meco, afflitti occhi dolenti.md",LVy2UR4rdjE6,381570480049522405891,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Piangete meco, afflitti occhi dolenti",,,"Piangete meco, afflitti occhi dolenti","Piangete meco, afflitti occhi dolenti.md",LVy2UR4rdjE6,381570480049522405891,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XvaLF6gau6Uq,Virginia Martini Salvi,,,,,,,,,,,,,,,,,
PoeticWork,"Piangete meco, afflitti occhi dolenti",,,"Piangete meco, afflitti occhi dolenti","Piangete meco, afflitti occhi dolenti.md",LVy2UR4rdjE6,381570480049522405891,part_of,,,,,,,,"Di Mad. Virginia Martini de' Salvi, Senese.",164.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MQJsV2BJ226x,"Rime diverse d'alcune nobilissime, et virtuosissime donne",,,,,,,,,,,,,
PoeticWork,"Piangete meco, afflitti occhi dolenti",,,"Piangete meco, afflitti occhi dolenti","Piangete meco, afflitti occhi dolenti.md",LVy2UR4rdjE6,381570480049522405891,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Piangete meco, afflitti occhi dolenti",,,"Piangete meco, afflitti occhi dolenti","Piangete meco, afflitti occhi dolenti.md",LVy2UR4rdjE6,381570480049522405891,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Piangete meco, afflitti occhi dolenti",,,"Piangete meco, afflitti occhi dolenti","Piangete meco, afflitti occhi dolenti.md",LVy2UR4rdjE6,381570480049522405891,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Suq86ApyHSzQ,weeping,,,,,,,,,
PoeticWork,"Piangete meco, afflitti occhi dolenti",,,"Piangete meco, afflitti occhi dolenti","Piangete meco, afflitti occhi dolenti.md",LVy2UR4rdjE6,381570480049522405891,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,,
PoeticWork,"Piangete meco, afflitti occhi dolenti",,,"Piangete meco, afflitti occhi dolenti","Piangete meco, afflitti occhi dolenti.md",LVy2UR4rdjE6,381570480049522405891,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"Piangete meco, afflitti occhi dolenti",,,"Piangete meco, afflitti occhi dolenti","Piangete meco, afflitti occhi dolenti.md",LVy2UR4rdjE6,381570480049522405891,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/494MWJWBbbLj,eye,,,
PoeticWork,"Piangete meco, afflitti occhi dolenti",,,"Piangete meco, afflitti occhi dolenti","Piangete meco, afflitti occhi dolenti.md",LVy2UR4rdjE6,381570480049522405891,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Y8F34DC8njH5,thorn,,,
PoeticWork,"Piangete meco, afflitti occhi dolenti",,,"Piangete meco, afflitti occhi dolenti","Piangete meco, afflitti occhi dolenti.md",LVy2UR4rdjE6,381570480049522405891,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BQRZFgW6wAyq,ingenuity,,,
PoeticWork,"Piangete meco, afflitti occhi dolenti",,,"Piangete meco, afflitti occhi dolenti","Piangete meco, afflitti occhi dolenti.md",LVy2UR4rdjE6,381570480049522405891,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,"Piangete meco, afflitti occhi dolenti",,,"Piangete meco, afflitti occhi dolenti","Piangete meco, afflitti occhi dolenti.md",LVy2UR4rdjE6,381570480049522405891,text,,,,,,,,,,,,,,,,,,,,,,,,
