class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_place_of_publication,has_version_publisher,has_version_publication_date,contributor_role,contributor_value,contributor_label,subject_value,based_on_value,catalog_identifier_value,has_part_value,depicts_value
Book,Delle rime di Cesare Rinaldi bolognese parte terza,,,Delle rime di Cesare Rinaldi bolognese parte terza,Delle rime di Cesare Rinaldi bolognese parte terza.md,LWqMey9cVuah,381883839488641824993,identifier,https://edit16.iccu.sbn.it/titolo/CNCE073048,,,,,,,,,,,,,,,,,,
Book,Delle rime di Cesare Rinaldi bolognese parte terza,,,Delle rime di Cesare Rinaldi bolognese parte terza,Delle rime di Cesare Rinaldi bolognese parte terza.md,LWqMey9cVuah,381883839488641824993,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/007410010,,,,,,,,,,,,,,,,,,
Book,Delle rime di Cesare Rinaldi bolognese parte terza,,,Delle rime di Cesare Rinaldi bolognese parte terza,Delle rime di Cesare Rinaldi bolognese parte terza.md,LWqMey9cVuah,381883839488641824993,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,
Book,Delle rime di Cesare Rinaldi bolognese parte terza,,,Delle rime di Cesare Rinaldi bolognese parte terza,Delle rime di Cesare Rinaldi bolognese parte terza.md,LWqMey9cVuah,381883839488641824993,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,
Book,Delle rime di Cesare Rinaldi bolognese parte terza,,,Delle rime di Cesare Rinaldi bolognese parte terza,Delle rime di Cesare Rinaldi bolognese parte terza.md,LWqMey9cVuah,381883839488641824993,title,,,,,,Delle rime di Cesare Rinaldi bolognese parte terza alla ill.ma et ecc.ma sig.ra la sig.ra Pellegrina Capello Bentiuoglia,,,,,,,,,,,,,
Book,Delle rime di Cesare Rinaldi bolognese parte terza,,,Delle rime di Cesare Rinaldi bolognese parte terza,Delle rime di Cesare Rinaldi bolognese parte terza.md,LWqMey9cVuah,381883839488641824993,inception,,,,,,,1590.0,,,,,,,,,,,,
Book,Delle rime di Cesare Rinaldi bolognese parte terza,,,Delle rime di Cesare Rinaldi bolognese parte terza,Delle rime di Cesare Rinaldi bolognese parte terza.md,LWqMey9cVuah,381883839488641824993,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE073048,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NAvcJHrBT6mr', 'label': 'Bologna'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SFgnYFwb3ueW', 'label': 'Vittorio Benacci'}",1590.0,,,,,,,,
Book,Delle rime di Cesare Rinaldi bolognese parte terza,,,Delle rime di Cesare Rinaldi bolognese parte terza,Delle rime di Cesare Rinaldi bolognese parte terza.md,LWqMey9cVuah,381883839488641824993,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mt9ZZcGQWahk,Pellegrina Capello,,,,,
Book,Delle rime di Cesare Rinaldi bolognese parte terza,,,Delle rime di Cesare Rinaldi bolognese parte terza,Delle rime di Cesare Rinaldi bolognese parte terza.md,LWqMey9cVuah,381883839488641824993,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BVmVM3rL2WcH,Giulio Renaldi,,,,,
Book,Delle rime di Cesare Rinaldi bolognese parte terza,,,Delle rime di Cesare Rinaldi bolognese parte terza,Delle rime di Cesare Rinaldi bolognese parte terza.md,LWqMey9cVuah,381883839488641824993,subject,,,,,,,,,,,,,,,,,,,
Book,Delle rime di Cesare Rinaldi bolognese parte terza,,,Delle rime di Cesare Rinaldi bolognese parte terza,Delle rime di Cesare Rinaldi bolognese parte terza.md,LWqMey9cVuah,381883839488641824993,based_on,,,,,,,,,,,,,,,,,,,
Book,Delle rime di Cesare Rinaldi bolognese parte terza,,,Delle rime di Cesare Rinaldi bolognese parte terza,Delle rime di Cesare Rinaldi bolognese parte terza.md,LWqMey9cVuah,381883839488641824993,catalog_identifier,,,,,,,,,,,,,,,,,,,
Book,Delle rime di Cesare Rinaldi bolognese parte terza,,,Delle rime di Cesare Rinaldi bolognese parte terza,Delle rime di Cesare Rinaldi bolognese parte terza.md,LWqMey9cVuah,381883839488641824993,has_part,,,,,,,,,,,,,,,,,,,
Book,Delle rime di Cesare Rinaldi bolognese parte terza,,,Delle rime di Cesare Rinaldi bolognese parte terza,Delle rime di Cesare Rinaldi bolognese parte terza.md,LWqMey9cVuah,381883839488641824993,depicts,,,,,,,,,,,,,,,,,,,
