class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,derivative_work_value,text_value,language_value,language_label,subject_value,poetic_type_value,poetic_type_label,depicts_value,depicts_label,metre_value,metre_label
MusicComposition,Crudel fiera selvaggia (Viola),,,Crudel fiera selvaggia (Viola),Crudel fiera selvaggia (Viola).md,M82GMdNgwfxk,394255896320627070297,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F061730000010101_000000076800C,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Crudel fiera selvaggia (Viola),,,Crudel fiera selvaggia (Viola),Crudel fiera selvaggia (Viola).md,M82GMdNgwfxk,394255896320627070297,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,
MusicComposition,Crudel fiera selvaggia (Viola),,,Crudel fiera selvaggia (Viola),Crudel fiera selvaggia (Viola).md,M82GMdNgwfxk,394255896320627070297,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,,,,,,,,,,,,,,,,
MusicComposition,Crudel fiera selvaggia (Viola),,,Crudel fiera selvaggia (Viola),Crudel fiera selvaggia (Viola).md,M82GMdNgwfxk,394255896320627070297,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7Y29ffZ8xr7v,Alfonso dalla Viola,,,,,,,,,,,,,,,
MusicComposition,Crudel fiera selvaggia (Viola),,,Crudel fiera selvaggia (Viola),Crudel fiera selvaggia (Viola).md,M82GMdNgwfxk,394255896320627070297,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f98iEviKik3n,Primo libro di Madrigali d'Alfonso dalla Viola,,,,,,,,,,,,,
MusicComposition,Crudel fiera selvaggia (Viola),,,Crudel fiera selvaggia (Viola),Crudel fiera selvaggia (Viola).md,M82GMdNgwfxk,394255896320627070297,instrumentation,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Crudel fiera selvaggia (Viola),,,Crudel fiera selvaggia (Viola),Crudel fiera selvaggia (Viola).md,M82GMdNgwfxk,394255896320627070297,based_on,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Crudel fiera selvaggia (Viola),,,Crudel fiera selvaggia (Viola),Crudel fiera selvaggia (Viola).md,M82GMdNgwfxk,394255896320627070297,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Crudel fiera selvaggia (Viola),,,Crudel fiera selvaggia (Viola),Crudel fiera selvaggia (Viola).md,M82GMdNgwfxk,394255896320627070297,text,,,,,,,,,,,,,,"Crudel fiera selvaggia
Contr'un vero fedele
Tant'ire, tanti sdegni e tai querele
Il cor m'infoc'acceso
I miei continui guai 
Il mio duol, il mio languire
Dovria haver omai
Trovar alcun compenso 
E far conform'al mio vero desire
E voi per più martire 
Crudel più che crudele
Con poco mel mischiat'un tanto fele.",,,,,,,,,
MusicComposition,Crudel fiera selvaggia (Viola),,,Crudel fiera selvaggia (Viola),Crudel fiera selvaggia (Viola).md,M82GMdNgwfxk,394255896320627070297,language,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,,,,,,,
MusicComposition,Crudel fiera selvaggia (Viola),,,Crudel fiera selvaggia (Viola),Crudel fiera selvaggia (Viola).md,M82GMdNgwfxk,394255896320627070297,subject,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Crudel fiera selvaggia (Viola),,,Crudel fiera selvaggia (Viola),Crudel fiera selvaggia (Viola).md,M82GMdNgwfxk,394255896320627070297,poetic_type,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,
MusicComposition,Crudel fiera selvaggia (Viola),,,Crudel fiera selvaggia (Viola),Crudel fiera selvaggia (Viola).md,M82GMdNgwfxk,394255896320627070297,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JUdJWGgBjkYx,animal,,
MusicComposition,Crudel fiera selvaggia (Viola),,,Crudel fiera selvaggia (Viola),Crudel fiera selvaggia (Viola).md,M82GMdNgwfxk,394255896320627070297,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GJNhc2VqDoFL,martyrdom,,
MusicComposition,Crudel fiera selvaggia (Viola),,,Crudel fiera selvaggia (Viola),Crudel fiera selvaggia (Viola).md,M82GMdNgwfxk,394255896320627070297,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ddyPTXYyiFzq,loyalty,,
MusicComposition,Crudel fiera selvaggia (Viola),,,Crudel fiera selvaggia (Viola),Crudel fiera selvaggia (Viola).md,M82GMdNgwfxk,394255896320627070297,metre,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable
MusicComposition,Crudel fiera selvaggia (Viola),,,Crudel fiera selvaggia (Viola),Crudel fiera selvaggia (Viola).md,M82GMdNgwfxk,394255896320627070297,metre,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable
