class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Accademia degli Elevati di Reggio Emilia,,,Accademia degli Elevati di Reggio Emilia,Accademia degli Elevati di Reggio Emilia.md,MNR2GKyVAuUp,399468876206909112826,identifier,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Reggio Emilia,,,Accademia degli Elevati di Reggio Emilia,Accademia degli Elevati di Reggio Emilia.md,MNR2GKyVAuUp,399468876206909112826,described_by_source,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Reggio Emilia,,,Accademia degli Elevati di Reggio Emilia,Accademia degli Elevati di Reggio Emilia.md,MNR2GKyVAuUp,399468876206909112826,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,
Organisation,Accademia degli Elevati di Reggio Emilia,,,Accademia degli Elevati di Reggio Emilia,Accademia degli Elevati di Reggio Emilia.md,MNR2GKyVAuUp,399468876206909112826,inception,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Reggio Emilia,,,Accademia degli Elevati di Reggio Emilia,Accademia degli Elevati di Reggio Emilia.md,MNR2GKyVAuUp,399468876206909112826,dissolved,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Reggio Emilia,,,Accademia degli Elevati di Reggio Emilia,Accademia degli Elevati di Reggio Emilia.md,MNR2GKyVAuUp,399468876206909112826,location,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Reggio Emilia,,,Accademia degli Elevati di Reggio Emilia,Accademia degli Elevati di Reggio Emilia.md,MNR2GKyVAuUp,399468876206909112826,official_website,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Reggio Emilia,,,Accademia degli Elevati di Reggio Emilia,Accademia degli Elevati di Reggio Emilia.md,MNR2GKyVAuUp,399468876206909112826,catalog_identifier,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",495.0,,,,,
Organisation,Accademia degli Elevati di Reggio Emilia,,,Accademia degli Elevati di Reggio Emilia,Accademia degli Elevati di Reggio Emilia.md,MNR2GKyVAuUp,399468876206909112826,member,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Reggio Emilia,,,Accademia degli Elevati di Reggio Emilia,Accademia degli Elevati di Reggio Emilia.md,MNR2GKyVAuUp,399468876206909112826,interested_in,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Reggio Emilia,,,Accademia degli Elevati di Reggio Emilia,Accademia degli Elevati di Reggio Emilia.md,MNR2GKyVAuUp,399468876206909112826,notable_work,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Reggio Emilia,,,Accademia degli Elevati di Reggio Emilia,Accademia degli Elevati di Reggio Emilia.md,MNR2GKyVAuUp,399468876206909112826,related_to,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Reggio Emilia,,,Accademia degli Elevati di Reggio Emilia,Accademia degli Elevati di Reggio Emilia.md,MNR2GKyVAuUp,399468876206909112826,motto,,,,,,,,,,,,,,,
