class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Cipriano de Rore,,,Cipriano de Rore,Cipriano de Rore.md,MaxTYmUANWX3,404012989386356547211,identifier,http://www.wikidata.org/entity/Q316074,,,,,,,,,,,,,,,,
Agent,Cipriano de Rore,,,Cipriano de Rore,Cipriano de Rore.md,MaxTYmUANWX3,404012989386356547211,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fd9ZVb3FMniL,(Stras 2018),,,,,,,,,,,,,,
Agent,Cipriano de Rore,,,Cipriano de Rore,Cipriano de Rore.md,MaxTYmUANWX3,404012989386356547211,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Cipriano de Rore,,,Cipriano de Rore,Cipriano de Rore.md,MaxTYmUANWX3,404012989386356547211,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Cipriano de Rore,,,Cipriano de Rore,Cipriano de Rore.md,MaxTYmUANWX3,404012989386356547211,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo,Ferrara,,,,,,,,
Agent,Cipriano de Rore,,,Cipriano de Rore,Cipriano de Rore.md,MaxTYmUANWX3,404012989386356547211,member_of,,,,,,,,,,,,,,,,,
Agent,Cipriano de Rore,,,Cipriano de Rore,Cipriano de Rore.md,MaxTYmUANWX3,404012989386356547211,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,
Agent,Cipriano de Rore,,,Cipriano de Rore,Cipriano de Rore.md,MaxTYmUANWX3,404012989386356547211,related_to,,,,,,,,,,,,,,,,,
Agent,Cipriano de Rore,,,Cipriano de Rore,Cipriano de Rore.md,MaxTYmUANWX3,404012989386356547211,notable_work,,,,,,,,,,,,,,,,,
Agent,Cipriano de Rore,,,Cipriano de Rore,Cipriano de Rore.md,MaxTYmUANWX3,404012989386356547211,interested_in,,,,,,,,,,,,,,,,,
Agent,Cipriano de Rore,,,Cipriano de Rore,Cipriano de Rore.md,MaxTYmUANWX3,404012989386356547211,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Cipriano de Rore,,,Cipriano de Rore,Cipriano de Rore.md,MaxTYmUANWX3,404012989386356547211,present_in_work,,,,,,,,,,,,,,,,,
