class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,inception_value,inception_reference,dissolved_value,dissolved_reference,location_value,location_label,official_website_value,catalog_identifier_value,member_value,interested_in_value,interested_in_reference,interested_in_label,notable_work_value,related_to_reference,related_to_relationship,related_to_value,related_to_label
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,MoUbTMoUPuYW,408542462607822493024,identifier,http://www.wikidata.org/entity/Q514377,,,,,,,,,,,,,,,,,,,,,
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,MoUbTMoUPuYW,408542462607822493024,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ev3YuNAVyPXa,(Hendrix 2017),,,,,,,,,,,,,,,,,,,
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,MoUbTMoUPuYW,408542462607822493024,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/crNGuxQmQc6y,artist collective,,,,,,,,,,,,,,,,,
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,MoUbTMoUPuYW,408542462607822493024,inception,,,,,,1620.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ev3YuNAVyPXa', 'label': '(Hendrix 2017)'}]",,,,,,,,,,,,,,,
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,MoUbTMoUPuYW,408542462607822493024,dissolved,,,,,,,,1720.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ev3YuNAVyPXa', 'label': '(Hendrix 2017)'}]",,,,,,,,,,,,,
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,MoUbTMoUPuYW,408542462607822493024,location,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J6uXo2g5NfHE,Roma,,,,,,,,,,,
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,MoUbTMoUPuYW,408542462607822493024,official_website,,,,,,,,,,,,,,,,,,,,,,
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,MoUbTMoUPuYW,408542462607822493024,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,MoUbTMoUPuYW,408542462607822493024,member,,,,,,,,,,,,,,,,,,,,,,
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,MoUbTMoUPuYW,408542462607822493024,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FrTGfpLK9YYC,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ev3YuNAVyPXa', 'label': '(Hendrix 2017)'}]",initiation ritual,,,,,
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,MoUbTMoUPuYW,408542462607822493024,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/M9iGv9TStxpX,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ev3YuNAVyPXa', 'label': '(Hendrix 2017)'}]",album amicorum,,,,,
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,MoUbTMoUPuYW,408542462607822493024,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eihJDhFoMudj,,visual arts,,,,,
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,MoUbTMoUPuYW,408542462607822493024,notable_work,,,,,,,,,,,,,,,,,,,,,,
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,MoUbTMoUPuYW,408542462607822493024,related_to,,,,,,,,,,,,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ev3YuNAVyPXa', 'label': '(Hendrix 2017)'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DNwzoKzW8Ew6', 'label': 'rival'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VLH3Xgfkhtes,Accademia di San Luca di Roma
