class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_volume,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Flora, Ninfa superba",,,"Flora, Ninfa superba","Flora, Ninfa superba.md",MuZzZpLZknqr,410748995416154333472,identifier,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Flora, Ninfa superba",,,"Flora, Ninfa superba","Flora, Ninfa superba.md",MuZzZpLZknqr,410748995416154333472,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Flora, Ninfa superba",,,"Flora, Ninfa superba","Flora, Ninfa superba.md",MuZzZpLZknqr,410748995416154333472,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Flora, Ninfa superba",,,"Flora, Ninfa superba","Flora, Ninfa superba.md",MuZzZpLZknqr,410748995416154333472,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dmr5M4HtkVw4,Clarice de' Medici,,,,,,,,,,,,,,,,,,
PoeticWork,"Flora, Ninfa superba",,,"Flora, Ninfa superba","Flora, Ninfa superba.md",MuZzZpLZknqr,410748995416154333472,part_of,,,,,,,,71.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AqfSVRY3KtFh,1.0,Clarice Medici.,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,,,,,,,,,,,
PoeticWork,"Flora, Ninfa superba",,,"Flora, Ninfa superba","Flora, Ninfa superba.md",MuZzZpLZknqr,410748995416154333472,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Flora, Ninfa superba",,,"Flora, Ninfa superba","Flora, Ninfa superba.md",MuZzZpLZknqr,410748995416154333472,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Flora, Ninfa superba",,,"Flora, Ninfa superba","Flora, Ninfa superba.md",MuZzZpLZknqr,410748995416154333472,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3ruLTSyv8VeY,pastoral,,,,,,,,,
PoeticWork,"Flora, Ninfa superba",,,"Flora, Ninfa superba","Flora, Ninfa superba.md",MuZzZpLZknqr,410748995416154333472,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
PoeticWork,"Flora, Ninfa superba",,,"Flora, Ninfa superba","Flora, Ninfa superba.md",MuZzZpLZknqr,410748995416154333472,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"Flora, Ninfa superba",,,"Flora, Ninfa superba","Flora, Ninfa superba.md",MuZzZpLZknqr,410748995416154333472,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,"Flora, Ninfa superba",,,"Flora, Ninfa superba","Flora, Ninfa superba.md",MuZzZpLZknqr,410748995416154333472,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/npjr3SjemrV3,Clori,,,
PoeticWork,"Flora, Ninfa superba",,,"Flora, Ninfa superba","Flora, Ninfa superba.md",MuZzZpLZknqr,410748995416154333472,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JZcMnFUyKqYJ,Artemis,,,
PoeticWork,"Flora, Ninfa superba",,,"Flora, Ninfa superba","Flora, Ninfa superba.md",MuZzZpLZknqr,410748995416154333472,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PEWn5KBtcVnB,arrow,,,
PoeticWork,"Flora, Ninfa superba",,,"Flora, Ninfa superba","Flora, Ninfa superba.md",MuZzZpLZknqr,410748995416154333472,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ddw2PSbVUZ6t,shepherd,,,
PoeticWork,"Flora, Ninfa superba",,,"Flora, Ninfa superba","Flora, Ninfa superba.md",MuZzZpLZknqr,410748995416154333472,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,"Flora, Ninfa superba",,,"Flora, Ninfa superba","Flora, Ninfa superba.md",MuZzZpLZknqr,410748995416154333472,text,,,,,,,,,,,,,,,,,,,,,,,,,"Flora, Ninfa superba,
Che di Diana sprezzi
L'arco, le reti, le fontane, e l'erba;
Non viver tanto in vezzi,
Che a te stessa increscendo
Cangi la propria forma in strani lezzi;
Già, se il vero io comprendo,
Poco stimi i Pastor, che t'ebber cara,
Poco la libertà, che ogn'uno apprezza;
Talché la tua bellezza,
Pigliando nova forma, or non più rara
Sarai, ne altrui sì cara:
Di ciò mi doglio, e il mio doler sia vano;
Che l'amaro tuo fin non è lontano."
