class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Costanza d'Avalos Piccolomini,,"[""Costanza D'Avalo"", ""Costanza D'Avalos""]",Costanza d'Avalos Piccolomini,Costanza d'Avalos Piccolomini.md,MwAaHEnQdsjZ,411324271725432206089,identifier,http://www.wikidata.org/entity/Q3695637,,,,,,,,,,,,,,,,
Agent,Costanza d'Avalos Piccolomini,,"[""Costanza D'Avalo"", ""Costanza D'Avalos""]",Costanza d'Avalos Piccolomini,Costanza d'Avalos Piccolomini.md,MwAaHEnQdsjZ,411324271725432206089,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cV7inRaDCFsd,(Robin 2007),,,,,,,,,,,,,,
Agent,Costanza d'Avalos Piccolomini,,"[""Costanza D'Avalo"", ""Costanza D'Avalos""]",Costanza d'Avalos Piccolomini,Costanza d'Avalos Piccolomini.md,MwAaHEnQdsjZ,411324271725432206089,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Costanza d'Avalos Piccolomini,,"[""Costanza D'Avalo"", ""Costanza D'Avalos""]",Costanza d'Avalos Piccolomini,Costanza d'Avalos Piccolomini.md,MwAaHEnQdsjZ,411324271725432206089,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,
Agent,Costanza d'Avalos Piccolomini,,"[""Costanza D'Avalo"", ""Costanza D'Avalos""]",Costanza d'Avalos Piccolomini,Costanza d'Avalos Piccolomini.md,MwAaHEnQdsjZ,411324271725432206089,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bpRYamR8DUKq,Napoli,,,,,,,,
Agent,Costanza d'Avalos Piccolomini,,"[""Costanza D'Avalo"", ""Costanza D'Avalos""]",Costanza d'Avalos Piccolomini,Costanza d'Avalos Piccolomini.md,MwAaHEnQdsjZ,411324271725432206089,member_of,,,,,,,,,,,,,,,,,
Agent,Costanza d'Avalos Piccolomini,,"[""Costanza D'Avalo"", ""Costanza D'Avalos""]",Costanza d'Avalos Piccolomini,Costanza d'Avalos Piccolomini.md,MwAaHEnQdsjZ,411324271725432206089,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,
Agent,Costanza d'Avalos Piccolomini,,"[""Costanza D'Avalo"", ""Costanza D'Avalos""]",Costanza d'Avalos Piccolomini,Costanza d'Avalos Piccolomini.md,MwAaHEnQdsjZ,411324271725432206089,related_to,,,,,,,,,,,,,,,,,
Agent,Costanza d'Avalos Piccolomini,,"[""Costanza D'Avalo"", ""Costanza D'Avalos""]",Costanza d'Avalos Piccolomini,Costanza d'Avalos Piccolomini.md,MwAaHEnQdsjZ,411324271725432206089,notable_work,,,,,,,,,,,,,,,,,
Agent,Costanza d'Avalos Piccolomini,,"[""Costanza D'Avalo"", ""Costanza D'Avalos""]",Costanza d'Avalos Piccolomini,Costanza d'Avalos Piccolomini.md,MwAaHEnQdsjZ,411324271725432206089,interested_in,,,,,,,,,,,,,,,,,
Agent,Costanza d'Avalos Piccolomini,,"[""Costanza D'Avalo"", ""Costanza D'Avalos""]",Costanza d'Avalos Piccolomini,Costanza d'Avalos Piccolomini.md,MwAaHEnQdsjZ,411324271725432206089,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Costanza d'Avalos Piccolomini,,"[""Costanza D'Avalo"", ""Costanza D'Avalos""]",Costanza d'Avalos Piccolomini,Costanza d'Avalos Piccolomini.md,MwAaHEnQdsjZ,411324271725432206089,present_in_work,,,,,,,,,,,,,,,,,
