class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,La rete fu di queste fila d'oro,,,La rete fu di queste fila d'oro,La rete fu di queste fila d'oro.md,MxToRnWxqoK2,411795745216552266873,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F020580000101_000462010C,,,,,,,,,,,,,,,,,,,,
PoeticWork,La rete fu di queste fila d'oro,,,La rete fu di queste fila d'oro,La rete fu di queste fila d'oro.md,MxToRnWxqoK2,411795745216552266873,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,
PoeticWork,La rete fu di queste fila d'oro,,,La rete fu di queste fila d'oro,La rete fu di queste fila d'oro.md,MxToRnWxqoK2,411795745216552266873,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,
PoeticWork,La rete fu di queste fila d'oro,,,La rete fu di queste fila d'oro,La rete fu di queste fila d'oro.md,MxToRnWxqoK2,411795745216552266873,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EBMKwsCza3hd,Ludovico Ariosto,,,,,,,,,,,,,
PoeticWork,La rete fu di queste fila d'oro,,,La rete fu di queste fila d'oro,La rete fu di queste fila d'oro.md,MxToRnWxqoK2,411795745216552266873,part_of,,,,,,,,,,,,,,,,,,,,,
PoeticWork,La rete fu di queste fila d'oro,,,La rete fu di queste fila d'oro,La rete fu di queste fila d'oro.md,MxToRnWxqoK2,411795745216552266873,based_on,,,,,,,,,,,,,,,,,,,,,
PoeticWork,La rete fu di queste fila d'oro,,,La rete fu di queste fila d'oro,La rete fu di queste fila d'oro.md,MxToRnWxqoK2,411795745216552266873,derivative_work,,,,,,,,,,,,,,,,,,,,,
PoeticWork,La rete fu di queste fila d'oro,,,La rete fu di queste fila d'oro,La rete fu di queste fila d'oro.md,MxToRnWxqoK2,411795745216552266873,subject,,,,,,,,,,,,,,,,,,,,,
PoeticWork,La rete fu di queste fila d'oro,,,La rete fu di queste fila d'oro,La rete fu di queste fila d'oro.md,MxToRnWxqoK2,411795745216552266873,poetic_type,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,,
PoeticWork,La rete fu di queste fila d'oro,,,La rete fu di queste fila d'oro,La rete fu di queste fila d'oro.md,MxToRnWxqoK2,411795745216552266873,metre,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,La rete fu di queste fila d'oro,,,La rete fu di queste fila d'oro,La rete fu di queste fila d'oro.md,MxToRnWxqoK2,411795745216552266873,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GMAwvtJt3st5,chain,,,
PoeticWork,La rete fu di queste fila d'oro,,,La rete fu di queste fila d'oro,La rete fu di queste fila d'oro.md,MxToRnWxqoK2,411795745216552266873,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PEWn5KBtcVnB,arrow,,,
PoeticWork,La rete fu di queste fila d'oro,,,La rete fu di queste fila d'oro,La rete fu di queste fila d'oro.md,MxToRnWxqoK2,411795745216552266873,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ACTN7uuqiNiD,torment,,,
PoeticWork,La rete fu di queste fila d'oro,,,La rete fu di queste fila d'oro,La rete fu di queste fila d'oro.md,MxToRnWxqoK2,411795745216552266873,language,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,La rete fu di queste fila d'oro,,,La rete fu di queste fila d'oro,La rete fu di queste fila d'oro.md,MxToRnWxqoK2,411795745216552266873,text,,,,,,,,,,,,,,,,,,,,,"La rete fu di queste fila d’oro,
In che il mio pensier vago intricò l’ale,
E queste ciglia l’arco, e ’l guardo strale,
E ’l feritor questi begli occhi foro.

Io son ferito, io son prigion per loro;
La piaga è in mezzo il cor aspra e mortale;
La prigion forte: e pur, in tanto male,
E chi ferimmi e chi mi prese adoro.

Per la dolce cagion del languir mio,
O del morir, se potrà tanto il duolo,
Languendo godo e di morir disio;

Pur ch’ella, non sapendo il piacer ch’io
Del languir m’abbia o del morir, d’un solo
Sospir mi degni, o d’altro affetto pio."
