class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value,language_value,subject_value,poetic_type_value,depicts_value,metre_value
MusicComposition,"Tu, che secondo l'alta Roma honora (Moscaglia)",,,"Tu, che secondo l'alta Roma honora (Moscaglia)","Tu, che secondo l'alta Roma honora (Moscaglia).md",NJSC2HmxK93B,418664081083559283552,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/290350001010101_000000166800,,,,,,,,,,,,,,,,,,,
MusicComposition,"Tu, che secondo l'alta Roma honora (Moscaglia)",,,"Tu, che secondo l'alta Roma honora (Moscaglia)","Tu, che secondo l'alta Roma honora (Moscaglia).md",NJSC2HmxK93B,418664081083559283552,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,
MusicComposition,"Tu, che secondo l'alta Roma honora (Moscaglia)",,,"Tu, che secondo l'alta Roma honora (Moscaglia)","Tu, che secondo l'alta Roma honora (Moscaglia).md",NJSC2HmxK93B,418664081083559283552,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,,,,,,,,,,,,,
MusicComposition,"Tu, che secondo l'alta Roma honora (Moscaglia)",,,"Tu, che secondo l'alta Roma honora (Moscaglia)","Tu, che secondo l'alta Roma honora (Moscaglia).md",NJSC2HmxK93B,418664081083559283552,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/V5TVPGB5izXm,Giulio Camillo,,,,,,,,,,,,
MusicComposition,"Tu, che secondo l'alta Roma honora (Moscaglia)",,,"Tu, che secondo l'alta Roma honora (Moscaglia)","Tu, che secondo l'alta Roma honora (Moscaglia).md",NJSC2HmxK93B,418664081083559283552,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mHdGfPaFXe5p,Giovanni Battista Moscaglia,,,,,,,,,,,,
MusicComposition,"Tu, che secondo l'alta Roma honora (Moscaglia)",,,"Tu, che secondo l'alta Roma honora (Moscaglia)","Tu, che secondo l'alta Roma honora (Moscaglia).md",NJSC2HmxK93B,418664081083559283552,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GtDRzsAS84Wg,"Il Primo Libro de Madrigali a quattro, a cinque et a sei voci di Gio. Battista Moscaglia intitolati gl'Amorosi Gigli",,,,,,,,,,
MusicComposition,"Tu, che secondo l'alta Roma honora (Moscaglia)",,,"Tu, che secondo l'alta Roma honora (Moscaglia)","Tu, che secondo l'alta Roma honora (Moscaglia).md",NJSC2HmxK93B,418664081083559283552,instrumentation,,,,,,,,,,,,,,,,,,,,
MusicComposition,"Tu, che secondo l'alta Roma honora (Moscaglia)",,,"Tu, che secondo l'alta Roma honora (Moscaglia)","Tu, che secondo l'alta Roma honora (Moscaglia).md",NJSC2HmxK93B,418664081083559283552,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/88NYz2zUZw4G,"Tu, che secondo l'alta Roma honora",,,,,,,
MusicComposition,"Tu, che secondo l'alta Roma honora (Moscaglia)",,,"Tu, che secondo l'alta Roma honora (Moscaglia)","Tu, che secondo l'alta Roma honora (Moscaglia).md",NJSC2HmxK93B,418664081083559283552,derivative_work,,,,,,,,,,,,,,,,,,,,
MusicComposition,"Tu, che secondo l'alta Roma honora (Moscaglia)",,,"Tu, che secondo l'alta Roma honora (Moscaglia)","Tu, che secondo l'alta Roma honora (Moscaglia).md",NJSC2HmxK93B,418664081083559283552,text,,,,,,,,,,,,,,,,,,,,
MusicComposition,"Tu, che secondo l'alta Roma honora (Moscaglia)",,,"Tu, che secondo l'alta Roma honora (Moscaglia)","Tu, che secondo l'alta Roma honora (Moscaglia).md",NJSC2HmxK93B,418664081083559283552,language,,,,,,,,,,,,,,,,,,,,
MusicComposition,"Tu, che secondo l'alta Roma honora (Moscaglia)",,,"Tu, che secondo l'alta Roma honora (Moscaglia)","Tu, che secondo l'alta Roma honora (Moscaglia).md",NJSC2HmxK93B,418664081083559283552,subject,,,,,,,,,,,,,,,,,,,,
MusicComposition,"Tu, che secondo l'alta Roma honora (Moscaglia)",,,"Tu, che secondo l'alta Roma honora (Moscaglia)","Tu, che secondo l'alta Roma honora (Moscaglia).md",NJSC2HmxK93B,418664081083559283552,poetic_type,,,,,,,,,,,,,,,,,,,,
MusicComposition,"Tu, che secondo l'alta Roma honora (Moscaglia)",,,"Tu, che secondo l'alta Roma honora (Moscaglia)","Tu, che secondo l'alta Roma honora (Moscaglia).md",NJSC2HmxK93B,418664081083559283552,depicts,,,,,,,,,,,,,,,,,,,,
MusicComposition,"Tu, che secondo l'alta Roma honora (Moscaglia)",,,"Tu, che secondo l'alta Roma honora (Moscaglia)","Tu, che secondo l'alta Roma honora (Moscaglia).md",NJSC2HmxK93B,418664081083559283552,metre,,,,,,,,,,,,,,,,,,,,
