class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,derivative_work_value,text_value
MusicComposition,Ne la dolce stagion di primavera (Vinci),,,Ne la dolce stagion di primavera (Vinci),Ne la dolce stagion di primavera (Vinci).md,P2UMWSVzGGKR,433521208495807942709,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F168650000010101_000000253800C,,,,,,,,,,,,,
MusicComposition,Ne la dolce stagion di primavera (Vinci),,,Ne la dolce stagion di primavera (Vinci),Ne la dolce stagion di primavera (Vinci).md,P2UMWSVzGGKR,433521208495807942709,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,
MusicComposition,Ne la dolce stagion di primavera (Vinci),,,Ne la dolce stagion di primavera (Vinci),Ne la dolce stagion di primavera (Vinci).md,P2UMWSVzGGKR,433521208495807942709,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,,,,,,,
MusicComposition,Ne la dolce stagion di primavera (Vinci),,,Ne la dolce stagion di primavera (Vinci),Ne la dolce stagion di primavera (Vinci).md,P2UMWSVzGGKR,433521208495807942709,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/baADqnLF4t7X,Tarquinia Molza,,,,,,
MusicComposition,Ne la dolce stagion di primavera (Vinci),,,Ne la dolce stagion di primavera (Vinci),Ne la dolce stagion di primavera (Vinci).md,P2UMWSVzGGKR,433521208495807942709,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7foFM4iCJ8um,Pietro Vinci,,,,,,
MusicComposition,Ne la dolce stagion di primavera (Vinci),,,Ne la dolce stagion di primavera (Vinci),Ne la dolce stagion di primavera (Vinci).md,P2UMWSVzGGKR,433521208495807942709,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mhGX2rwoBen9,Di Pietro Vinci Il terzo libro de madrigali a cinque voci,,,,
MusicComposition,Ne la dolce stagion di primavera (Vinci),,,Ne la dolce stagion di primavera (Vinci),Ne la dolce stagion di primavera (Vinci).md,P2UMWSVzGGKR,433521208495807942709,instrumentation,,,,,,,,,,,,,,
MusicComposition,Ne la dolce stagion di primavera (Vinci),,,Ne la dolce stagion di primavera (Vinci),Ne la dolce stagion di primavera (Vinci).md,P2UMWSVzGGKR,433521208495807942709,based_on,,,,,,,,,,,,,,
MusicComposition,Ne la dolce stagion di primavera (Vinci),,,Ne la dolce stagion di primavera (Vinci),Ne la dolce stagion di primavera (Vinci).md,P2UMWSVzGGKR,433521208495807942709,derivative_work,,,,,,,,,,,,,,
MusicComposition,Ne la dolce stagion di primavera (Vinci),,,Ne la dolce stagion di primavera (Vinci),Ne la dolce stagion di primavera (Vinci).md,P2UMWSVzGGKR,433521208495807942709,text,,,,,,,,,,,,,,
